#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
                 1      1.184525e+00      1.184525e+00      0.000000e+00
                 2      1.190662e+00      1.187594e+00      2.169716e-03
                 3      1.205059e+00      1.193415e+00      4.968595e-03
                 4      1.168810e+00      1.187264e+00      6.501204e-03
                 5      1.184394e+00      1.186690e+00      5.226242e-03
                 6      1.224239e+00      1.192948e+00      7.183654e-03
                 7      1.221114e+00      1.196972e+00      7.196624e-03
                 8      1.198219e+00      1.197128e+00      6.298734e-03
                 9      1.182813e+00      1.195537e+00      5.796222e-03
                10      1.211683e+00      1.197152e+00      5.436816e-03
                11      1.183846e+00      1.195942e+00      5.075335e-03
                12      1.186404e+00      1.195147e+00      4.714222e-03
                13      1.202587e+00      1.195720e+00      4.386190e-03
                14      1.231456e+00      1.198272e+00      4.758013e-03
                15      1.252142e+00      1.201864e+00      5.635486e-03
                16      1.227263e+00      1.203451e+00      5.502308e-03
                17      1.184362e+00      1.202328e+00      5.291982e-03
                18      1.189315e+00      1.201605e+00      5.047123e-03
                19      1.202926e+00      1.201675e+00      4.781964e-03
                20      1.202618e+00      1.201722e+00      4.543098e-03
