#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
                 1      1.130792e+00      1.130792e+00      0.000000e+00
                 2      1.106991e+00      1.118891e+00      8.415014e-03
                 3      1.105643e+00      1.114475e+00      6.668831e-03
                 4      1.078197e+00      1.105406e+00      9.311773e-03
                 5      1.087419e+00      1.101809e+00      8.114580e-03
                 6      1.089791e+00      1.099806e+00      7.004975e-03
                 7      1.114956e+00      1.101970e+00      6.329803e-03
                 8      1.109815e+00      1.102951e+00      5.614027e-03
                 9      1.104092e+00      1.103077e+00      4.991679e-03
                10      1.109526e+00      1.103722e+00      4.533971e-03
                11      1.103540e+00      1.103706e+00      4.121822e-03
                12      1.092473e+00      1.102770e+00      3.883169e-03
                13      1.089576e+00      1.101755e+00      3.714721e-03
                14      1.095308e+00      1.101294e+00      3.477812e-03
                15      1.094573e+00      1.100846e+00      3.274697e-03
                16      1.100771e+00      1.100841e+00      3.070032e-03
                17      1.098851e+00      1.100724e+00      2.891673e-03
                18      1.095680e+00      1.100444e+00      2.744574e-03
                19      1.117057e+00      1.101319e+00      2.735854e-03
                20      1.072217e+00      1.099863e+00      2.960837e-03
