#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
                 1     -3.376663e+00     -3.376663e+00      0.000000e+00
                 2     -3.376461e+00     -3.376562e+00      7.161004e-05
                 3     -3.377088e+00     -3.376737e+00      1.508428e-04
                 4     -3.375653e+00     -3.376466e+00      2.605251e-04
                 5     -3.375672e+00     -3.376307e+00      2.522220e-04
                 6     -3.376054e+00     -3.376265e+00      2.137002e-04
                 7     -3.377739e+00     -3.376476e+00      2.674564e-04
                 8     -3.377807e+00     -3.376642e+00      2.810910e-04
                 9     -3.377052e+00     -3.376688e+00      2.535302e-04
                10     -3.378632e+00     -3.376882e+00      2.934133e-04
                11     -3.376666e+00     -3.376862e+00      2.673934e-04
                12     -3.377336e+00     -3.376902e+00      2.480077e-04
                13     -3.374338e+00     -3.376705e+00      2.971870e-04
                14     -3.377294e+00     -3.376747e+00      2.789209e-04
                15     -3.378137e+00     -3.376839e+00      2.753006e-04
                16     -3.376390e+00     -3.376811e+00      2.595239e-04
                17     -3.376569e+00     -3.376797e+00      2.446474e-04
                18     -3.378006e+00     -3.376864e+00      2.400970e-04
                19     -3.376332e+00     -3.376836e+00      2.290867e-04
                20     -3.376726e+00     -3.376831e+00      2.176986e-04
