#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
                 1     -6.661123e+00     -6.661123e+00      0.000000e+00
                 2     -6.665099e+00     -6.663111e+00      1.405872e-03
                 3     -6.667610e+00     -6.664611e+00      1.542068e-03
                 4     -6.665740e+00     -6.664893e+00      1.182094e-03
                 5     -6.655151e+00     -6.662945e+00      1.982849e-03
                 6     -6.662167e+00     -6.662815e+00      1.656601e-03
                 7     -6.665430e+00     -6.663189e+00      1.461466e-03
                 8     -6.655687e+00     -6.662251e+00      1.550704e-03
                 9     -6.661492e+00     -6.662167e+00      1.380694e-03
                10     -6.666862e+00     -6.662636e+00      1.320060e-03
                11     -6.659690e+00     -6.662368e+00      1.226933e-03
                12     -6.659700e+00     -6.662146e+00      1.144657e-03
                13     -6.667637e+00     -6.662568e+00      1.131867e-03
                14     -6.669446e+00     -6.663060e+00      1.152716e-03
                15     -6.663017e+00     -6.663057e+00      1.075872e-03
                16     -6.664847e+00     -6.663169e+00      1.014430e-03
                17     -6.656873e+00     -6.662798e+00      1.020127e-03
                18     -6.662132e+00     -6.662761e+00      9.641253e-04
                19     -6.661111e+00     -6.662674e+00      9.172841e-04
                20     -6.666745e+00     -6.662878e+00      8.937096e-04
