#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
                 1     -4.168444e-01     -4.168444e-01      0.000000e+00
                 2     -4.090816e-01     -4.129630e-01      2.744553e-03
                 3     -4.075822e-01     -4.111694e-01      2.343606e-03
                 4     -4.138980e-01     -4.118516e-01      1.854322e-03
                 5     -4.215264e-01     -4.137865e-01      2.279460e-03
                 6     -4.119050e-01     -4.134729e-01      1.921000e-03
                 7     -4.033879e-01     -4.120322e-01      2.119040e-03
                 8     -3.976610e-01     -4.102358e-01      2.502320e-03
                 9     -4.125530e-01     -4.104933e-01      2.237491e-03
                10     -3.987600e-01     -4.093200e-01      2.300908e-03
                11     -4.127131e-01     -4.096284e-01      2.112311e-03
                12     -4.160522e-01     -4.101637e-01      2.002968e-03
                13     -4.131304e-01     -4.103919e-01      1.861849e-03
                14     -4.139619e-01     -4.106469e-01      1.746234e-03
                15     -4.241608e-01     -4.115479e-01      1.847665e-03
                16     -4.210568e-01     -4.121422e-01      1.825265e-03
                17     -4.117122e-01     -4.121169e-01      1.718072e-03
                18     -4.125712e-01     -4.121421e-01      1.622809e-03
                19     -4.117832e-01     -4.121232e-01      1.537508e-03
                20     -4.192651e-01     -4.124803e-01      1.501528e-03
                21     -4.051358e-01     -4.121306e-01      1.470193e-03
                22     -4.163286e-01     -4.123214e-01      1.415696e-03
                23     -4.235890e-01     -4.128113e-01      1.436408e-03
                24     -4.237413e-01     -4.132667e-01      1.446954e-03
                25     -4.189813e-01     -4.134953e-01      1.407015e-03
                26     -4.086790e-01     -4.133101e-01      1.365039e-03
                27     -3.960922e-01     -4.126724e-01      1.455838e-03
                28     -4.106822e-01     -4.126013e-01      1.405577e-03
                29     -4.136129e-01     -4.126362e-01      1.357542e-03
                30     -4.193729e-01     -4.128607e-01      1.330733e-03
                31     -4.173935e-01     -4.130069e-01      1.295815e-03
                32     -4.130768e-01     -4.130091e-01      1.255322e-03
                33     -4.210403e-01     -4.132525e-01      1.240649e-03
                34     -4.163421e-01     -4.133434e-01      1.207483e-03
                35     -4.115409e-01     -4.132919e-01      1.174081e-03
                36     -4.108082e-01     -4.132229e-01      1.143493e-03
                37     -4.070331e-01     -4.130556e-01      1.124758e-03
                38     -4.072035e-01     -4.129016e-01      1.105652e-03
                39     -4.155206e-01     -4.129687e-01      1.079340e-03
                40     -4.104613e-01     -4.129061e-01      1.054175e-03
                41     -4.212800e-01     -4.131103e-01      1.048062e-03
                42     -4.150939e-01     -4.131575e-01      1.024172e-03
                43     -4.196436e-01     -4.133084e-01      1.011401e-03
                44     -4.188541e-01     -4.134344e-01      9.962367e-04
                45     -4.147340e-01     -4.134633e-01      9.745166e-04
                46     -4.140065e-01     -4.134751e-01      9.534030e-04
                47     -4.166220e-01     -4.135420e-01      9.354660e-04
                48     -4.143816e-01     -4.135595e-01      9.161407e-04
                49     -4.161330e-01     -4.136121e-01      8.989481e-04
                50     -4.120069e-01     -4.135800e-01      8.815422e-04
