#     BLOCK:   ACTUAL_P:     P_AVE:       ERROR:
                 1     -1.139719e-02     -1.139719e-02      0.000000e+00
                 2     -1.095111e-02     -1.117415e-02      1.577132e-04
                 3     -1.136438e-02     -1.123756e-02      1.171978e-04
                 4     -1.141410e-02     -1.128169e-02      9.584864e-05
                 5     -1.108471e-02     -1.124230e-02      8.438802e-05
                 6     -1.070420e-02     -1.115261e-02      1.079252e-04
                 7     -1.085257e-02     -1.110975e-02      1.006598e-04
                 8     -1.098300e-02     -1.109391e-02      8.931550e-05
                 9     -1.150649e-02     -1.113975e-02      9.039410e-05
                10     -1.046086e-02     -1.107186e-02      1.037626e-04
                11     -1.089507e-02     -1.105579e-02      9.556617e-05
                12     -1.102821e-02     -1.105349e-02      8.762995e-05
                13     -1.098224e-02     -1.104801e-02      8.106042e-05
                14     -1.092481e-02     -1.103921e-02      7.574656e-05
                15     -1.091754e-02     -1.103110e-02      7.112976e-05
                16     -1.080457e-02     -1.101694e-02      6.807864e-05
                17     -1.108724e-02     -1.102108e-02      6.419948e-05
                18     -1.095801e-02     -1.101757e-02      6.072836e-05
                19     -1.104599e-02     -1.101907e-02      5.755055e-05
                20     -1.082483e-02     -1.100936e-02      5.548640e-05
                21     -1.120874e-02     -1.101885e-02      5.365039e-05
                22     -1.095568e-02     -1.101598e-02      5.128851e-05
                23     -1.114673e-02     -1.102166e-02      4.937261e-05
                24     -1.121646e-02     -1.102978e-02      4.797790e-05
                25     -1.111123e-02     -1.103304e-02      4.616926e-05
                26     -1.133509e-02     -1.104466e-02      4.583184e-05
                27     -1.116036e-02     -1.104894e-02      4.433426e-05
                28     -1.093016e-02     -1.104470e-02      4.295338e-05
                29     -1.109725e-02     -1.104651e-02      4.151043e-05
                30     -1.121666e-02     -1.105218e-02      4.051238e-05
                31     -1.111764e-02     -1.105429e-02      3.926052e-05
                32     -1.091347e-02     -1.104989e-02      3.827947e-05
                33     -1.115117e-02     -1.105296e-02      3.724231e-05
                34     -1.121674e-02     -1.105778e-02      3.645713e-05
                35     -1.135381e-02     -1.106624e-02      3.638340e-05
                36     -1.075756e-02     -1.105766e-02      3.636905e-05
                37     -1.099300e-02     -1.105592e-02      3.542806e-05
                38     -1.072006e-02     -1.104708e-02      3.558111e-05
                39     -1.075775e-02     -1.103966e-02      3.543371e-05
                40     -1.080344e-02     -1.103375e-02      3.503652e-05
                41     -1.093452e-02     -1.103133e-02      3.426547e-05
                42     -1.083129e-02     -1.102657e-02      3.377905e-05
                43     -1.109425e-02     -1.102814e-02      3.303013e-05
                44     -1.103057e-02     -1.102820e-02      3.227950e-05
                45     -1.076895e-02     -1.102244e-02      3.207214e-05
                46     -1.103599e-02     -1.102273e-02      3.137628e-05
                47     -1.081543e-02     -1.101832e-02      3.101715e-05
                48     -1.131429e-02     -1.102449e-02      3.097776e-05
                49     -1.123343e-02     -1.102875e-02      3.063763e-05
                50     -1.083317e-02     -1.102484e-02      3.027357e-05
