#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
                 1     -5.484450e+00     -5.484450e+00      0.000000e+00
                 2     -5.474664e+00     -5.479557e+00      3.459937e-03
                 3     -5.457590e+00     -5.472235e+00      6.408265e-03
                 4     -5.486076e+00     -5.475695e+00      5.663866e-03
                 5     -5.488079e+00     -5.478172e+00      5.043642e-03
                 6     -5.468626e+00     -5.476581e+00      4.446908e-03
                 7     -5.451211e+00     -5.472956e+00      5.078156e-03
                 8     -5.474774e+00     -5.473184e+00      4.448465e-03
                 9     -5.450244e+00     -5.470635e+00      4.627151e-03
                10     -5.446487e+00     -5.468220e+00      4.752955e-03
                11     -5.449012e+00     -5.466474e+00      4.630533e-03
                12     -5.471101e+00     -5.466859e+00      4.260678e-03
                13     -5.454776e+00     -5.465930e+00      4.033044e-03
                14     -5.470054e+00     -5.466224e+00      3.755712e-03
                15     -5.465899e+00     -5.466203e+00      3.505394e-03
                16     -5.447871e+00     -5.465057e+00      3.468506e-03
                17     -5.448441e+00     -5.464080e+00      3.399402e-03
                18     -5.467122e+00     -5.464249e+00      3.214747e-03
                19     -5.444463e+00     -5.463207e+00      3.209776e-03
                20     -5.469254e+00     -5.463510e+00      3.063492e-03
                21     -5.460853e+00     -5.463383e+00      2.920221e-03
                22     -5.459984e+00     -5.463229e+00      2.791568e-03
                23     -5.442557e+00     -5.462330e+00      2.811154e-03
                24     -5.475011e+00     -5.462858e+00      2.743228e-03
                25     -5.478150e+00     -5.463470e+00      2.700830e-03
                26     -5.446724e+00     -5.462826e+00      2.672649e-03
                27     -5.467513e+00     -5.462999e+00      2.579293e-03
                28     -5.469843e+00     -5.463244e+00      2.498729e-03
                29     -5.470836e+00     -5.463506e+00      2.426241e-03
                30     -5.465663e+00     -5.463578e+00      2.346432e-03
                31     -5.448861e+00     -5.463103e+00      2.318266e-03
                32     -5.449997e+00     -5.462693e+00      2.281713e-03
                33     -5.437126e+00     -5.461918e+00      2.340412e-03
                34     -5.471757e+00     -5.462208e+00      2.289397e-03
                35     -5.472434e+00     -5.462500e+00      2.242552e-03
                36     -5.452172e+00     -5.462213e+00      2.198534e-03
                37     -5.471641e+00     -5.462468e+00      2.153829e-03
                38     -5.474302e+00     -5.462779e+00      2.119543e-03
                39     -5.431115e+00     -5.461967e+00      2.215244e-03
                40     -5.462215e+00     -5.461974e+00      2.159872e-03
                41     -5.467031e+00     -5.462097e+00      2.110712e-03
                42     -5.459535e+00     -5.462036e+00      2.061338e-03
                43     -5.462164e+00     -5.462039e+00      2.013402e-03
                44     -5.465066e+00     -5.462108e+00      1.968818e-03
                45     -5.485736e+00     -5.462633e+00      1.993856e-03
                46     -5.471180e+00     -5.462819e+00      1.959151e-03
                47     -5.469903e+00     -5.462969e+00      1.923256e-03
                48     -5.483229e+00     -5.463391e+00      1.928945e-03
                49     -5.464903e+00     -5.463422e+00      1.889826e-03
                50     -5.446984e+00     -5.463094e+00      1.880409e-03
