#     BLOCK:   ACTUAL_P:     P_AVE:       ERROR:
                 1     -2.760933e+02     -2.760933e+02      0.000000e+00
                 2     -2.760505e+02     -2.760719e+02      1.514666e-02
                 3     -2.759498e+02     -2.760312e+02      3.471848e-02
                 4     -2.760414e+02     -2.760338e+02      2.613295e-02
                 5     -2.761058e+02     -2.760482e+02      2.456371e-02
                 6     -2.759680e+02     -2.760348e+02      2.382981e-02
                 7     -2.759317e+02     -2.760201e+02      2.456266e-02
                 8     -2.760454e+02     -2.760232e+02      2.169597e-02
                 9     -2.759106e+02     -2.760107e+02      2.260784e-02
                10     -2.758786e+02     -2.759975e+02      2.389837e-02
                11     -2.758938e+02     -2.759881e+02      2.351180e-02
                12     -2.760383e+02     -2.759923e+02      2.192143e-02
                13     -2.759160e+02     -2.759864e+02      2.100627e-02
                14     -2.760083e+02     -2.759880e+02      1.956414e-02
                15     -2.759649e+02     -2.759864e+02      1.832033e-02
                16     -2.759007e+02     -2.759811e+02      1.794252e-02
                17     -2.759053e+02     -2.759766e+02      1.743177e-02
                18     -2.759962e+02     -2.759777e+02      1.649727e-02
                19     -2.758748e+02     -2.759723e+02      1.649330e-02
                20     -2.759918e+02     -2.759733e+02      1.569747e-02
                21     -2.759745e+02     -2.759733e+02      1.495008e-02
                22     -2.759552e+02     -2.759725e+02      1.429309e-02
                23     -2.758699e+02     -2.759680e+02      1.435056e-02
                24     -2.760489e+02     -2.759714e+02      1.414251e-02
                25     -2.760575e+02     -2.759749e+02      1.398971e-02
                26     -2.759268e+02     -2.759730e+02      1.357323e-02
                27     -2.759842e+02     -2.759734e+02      1.307689e-02
                28     -2.760101e+02     -2.759747e+02      1.267524e-02
                29     -2.760060e+02     -2.759758e+02      1.228400e-02
                30     -2.759789e+02     -2.759759e+02      1.187496e-02
                31     -2.758976e+02     -2.759734e+02      1.175780e-02
                32     -2.758673e+02     -2.759701e+02      1.184879e-02
                33     -2.758818e+02     -2.759674e+02      1.178794e-02
                34     -2.760281e+02     -2.759692e+02      1.157581e-02
                35     -2.760546e+02     -2.759716e+02      1.149926e-02
                36     -2.759365e+02     -2.759706e+02      1.122105e-02
                37     -2.760128e+02     -2.759718e+02      1.097555e-02
                38     -2.760110e+02     -2.759728e+02      1.073515e-02
                39     -2.758389e+02     -2.759694e+02      1.099545e-02
                40     -2.759954e+02     -2.759700e+02      1.073984e-02
                41     -2.760338e+02     -2.759716e+02      1.059006e-02
                42     -2.759958e+02     -2.759722e+02      1.035355e-02
                43     -2.759676e+02     -2.759721e+02      1.011332e-02
                44     -2.760156e+02     -2.759730e+02      9.931879e-03
                45     -2.760848e+02     -2.759755e+02      1.001658e-02
                46     -2.760084e+02     -2.759762e+02      9.824288e-03
                47     -2.760297e+02     -2.759774e+02      9.680983e-03
                48     -2.760827e+02     -2.759796e+02      9.724779e-03
                49     -2.760124e+02     -2.759802e+02      9.549420e-03
                50     -2.759117e+02     -2.759789e+02      9.456401e-03
