#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
                 1     -7.535837e+00     -7.535837e+00      0.000000e+00
                 2     -7.543492e+00     -7.539665e+00      2.706584e-03
                 3     -7.552808e+00     -7.544046e+00      4.006389e-03
                 4     -7.519355e+00     -7.537873e+00      6.132320e-03
                 5     -7.574046e+00     -7.545107e+00      8.120294e-03
                 6     -7.557540e+00     -7.547180e+00      7.026319e-03
                 7     -7.530689e+00     -7.544824e+00      6.405317e-03
                 8     -7.565114e+00     -7.547360e+00      6.086118e-03
                 9     -7.528018e+00     -7.545211e+00      5.776893e-03
                10     -7.536537e+00     -7.544344e+00      5.263925e-03
                11     -7.535980e+00     -7.543583e+00      4.839984e-03
                12     -7.554115e+00     -7.544461e+00      4.515525e-03
                13     -7.560107e+00     -7.545664e+00      4.325607e-03
                14     -7.541425e+00     -7.545362e+00      4.027222e-03
                15     -7.569712e+00     -7.546985e+00      4.072804e-03
                16     -7.580217e+00     -7.549062e+00      4.315490e-03
                17     -7.581383e+00     -7.550963e+00      4.460835e-03
                18     -7.533181e+00     -7.549975e+00      4.321021e-03
                19     -7.547063e+00     -7.549822e+00      4.096317e-03
                20     -7.539418e+00     -7.549302e+00      3.924390e-03
                21     -7.508718e+00     -7.547369e+00      4.186401e-03
                22     -7.570295e+00     -7.548411e+00      4.123770e-03
                23     -7.537655e+00     -7.547944e+00      3.970905e-03
                24     -7.527593e+00     -7.547096e+00      3.894937e-03
                25     -7.558727e+00     -7.547561e+00      3.766825e-03
                26     -7.546020e+00     -7.547502e+00      3.622413e-03
                27     -7.560641e+00     -7.547988e+00      3.520788e-03
                28     -7.522393e+00     -7.547074e+00      3.511706e-03
                29     -7.562925e+00     -7.547621e+00      3.432883e-03
                30     -7.523513e+00     -7.546817e+00      3.411215e-03
                31     -7.581329e+00     -7.547931e+00      3.478101e-03
                32     -7.523414e+00     -7.547164e+00      3.452758e-03
                33     -7.553623e+00     -7.547360e+00      3.353671e-03
                34     -7.569961e+00     -7.548025e+00      3.320259e-03
                35     -7.521144e+00     -7.547257e+00      3.313031e-03
                36     -7.540655e+00     -7.547073e+00      3.226073e-03
                37     -7.541416e+00     -7.546921e+00      3.142503e-03
                38     -7.552969e+00     -7.547080e+00      3.063834e-03
                39     -7.546821e+00     -7.547073e+00      2.985281e-03
                40     -7.550931e+00     -7.547170e+00      2.912206e-03
                41     -7.533845e+00     -7.546845e+00      2.859253e-03
                42     -7.541395e+00     -7.546715e+00      2.794118e-03
                43     -7.576457e+00     -7.547406e+00      2.813449e-03
                44     -7.559482e+00     -7.547681e+00      2.762860e-03
                45     -7.504141e+00     -7.546713e+00      2.865876e-03
                46     -7.559503e+00     -7.546991e+00      2.817029e-03
                47     -7.529192e+00     -7.546613e+00      2.782431e-03
                48     -7.558435e+00     -7.546859e+00      2.735343e-03
                49     -7.526745e+00     -7.546449e+00      2.710145e-03
                50     -7.539364e+00     -7.546307e+00      2.659643e-03
