#     BLOCK:   ACTUAL_P:     P_AVE:       ERROR:
                 1      6.770822e+00      6.770822e+00      0.000000e+00
                 2      6.729951e+00      6.750386e+00      1.444993e-02
                 3      6.683387e+00      6.728053e+00      2.062315e-02
                 4      6.858932e+00      6.760773e+00      3.228275e-02
                 5      6.569729e+00      6.722564e+00      4.283597e-02
                 6      6.653162e+00      6.710997e+00      3.722563e-02
                 7      6.796559e+00      6.723220e+00      3.385503e-02
                 8      6.623680e+00      6.710778e+00      3.182760e-02
                 9      6.820551e+00      6.722975e+00      3.053900e-02
                10      6.767896e+00      6.727467e+00      2.781353e-02
                11      6.771110e+00      6.731435e+00      2.556644e-02
                12      6.678485e+00      6.727022e+00      2.381363e-02
                13      6.632620e+00      6.719760e+00      2.306244e-02
                14      6.742009e+00      6.721350e+00      2.146980e-02
                15      6.585675e+00      6.712305e+00      2.186088e-02
                16      6.525206e+00      6.700611e+00      2.341417e-02
                17      6.523335e+00      6.690183e+00      2.424810e-02
                18      6.792709e+00      6.695879e+00      2.356047e-02
                19      6.708465e+00      6.696541e+00      2.232976e-02
                20      6.751374e+00      6.699283e+00      2.138092e-02
                21      6.923390e+00      6.709955e+00      2.287151e-02
                22      6.586081e+00      6.704324e+00      2.251432e-02
                23      6.755057e+00      6.706530e+00      2.164322e-02
                24      6.815930e+00      6.711088e+00      2.121601e-02
                25      6.655267e+00      6.708855e+00      2.048453e-02
                26      6.717605e+00      6.709192e+00      1.969943e-02
                27      6.632236e+00      6.706342e+00      1.917490e-02
                28      6.848655e+00      6.711424e+00      1.915186e-02
                29      6.630514e+00      6.708634e+00      1.869356e-02
                30      6.842519e+00      6.713097e+00      1.859553e-02
                31      6.524753e+00      6.707021e+00      1.896225e-02
                32      6.839250e+00      6.711154e+00      1.881452e-02
                33      6.683668e+00      6.710321e+00      1.826281e-02
                34      6.583705e+00      6.706597e+00      1.810137e-02
                35      6.849140e+00      6.710669e+00      1.803653e-02
                36      6.752640e+00      6.711835e+00      1.757315e-02
                37      6.740658e+00      6.712614e+00      1.711546e-02
                38      6.678079e+00      6.711705e+00      1.668916e-02
                39      6.712983e+00      6.711738e+00      1.626127e-02
                40      6.692924e+00      6.711268e+00      1.586154e-02
                41      6.798041e+00      6.713384e+00      1.561523e-02
                42      6.743476e+00      6.714101e+00      1.525987e-02
                43      6.551842e+00      6.710327e+00      1.536446e-02
                44      6.636442e+00      6.708648e+00      1.510675e-02
                45      6.943972e+00      6.713877e+00      1.565001e-02
                46      6.647877e+00      6.712443e+00      1.537542e-02
                47      6.812715e+00      6.714576e+00      1.519558e-02
                48      6.645915e+00      6.713146e+00      1.494618e-02
                49      6.820367e+00      6.715334e+00      1.480047e-02
                50      6.753629e+00      6.716100e+00      1.452427e-02
