#  BETA         STEPS      MEANACC
      5.000000e-01                 7      6.632053e-01
      2.500000e+00                13      6.004801e-01
      4.500000e+00                27      5.108480e-01
      6.500000e+00                69      4.972742e-01
      8.500000e+00                39      3.957849e-01
      1.050000e+01                62      2.930909e-01
      1.250000e+01                11      3.936458e-01
      1.450000e+01                20      2.608676e-01
      1.650000e+01                21      2.848307e-01
      1.850000e+01                 3      3.564546e-01
      2.050000e+01                23      2.271003e-01
      2.250000e+01                 2      5.011762e-01
      2.450000e+01                 3      3.431965e-01
      2.650000e+01                 5      4.381594e-01
      2.850000e+01                 5      2.526811e-01
      3.050000e+01                 2      9.119621e-01
      3.250000e+01                 4      5.590751e-01
      3.450000e+01                 7      1.902673e-01
      3.650000e+01                30      1.436317e-01
      3.850000e+01                32      1.893632e-01
      4.050000e+01                85      7.962491e-02
      4.250000e+01                83      3.926090e-02
      4.450000e+01               174      1.036239e-01
      4.650000e+01                16      5.847538e-02
      4.850000e+01                22      1.023557e-01
      5.050000e+01                16      5.232019e-02
      5.250000e+01               162      3.733998e-02
      5.450000e+01                45      1.845883e-02
      5.650000e+01               188      5.314761e-02
      5.850000e+01               329      2.996225e-02
      6.050000e+01                26      1.062357e-01
      6.250000e+01                10      1.078373e-01
      6.450000e+01                10      7.068627e-02
      6.650000e+01                45      2.577330e-02
      6.850000e+01               172      2.495360e-02
      7.050000e+01                11      3.034261e-01
      7.250000e+01                 7      2.461156e-01
      7.450000e+01                82      4.261118e-02
      7.650000e+01               361      2.526837e-02
      7.850000e+01                99      5.012108e-02
      8.050000e+01                57      3.726673e-02
