#  <H> OPTIMAL PARAMS       ERROR (BLOCK ANALYSIS)
     -4.021808e-01      0.000000e+00
     -4.497967e-01      4.761583e-02
     -4.695955e-01      3.387843e-02
     -4.049411e-01      6.894966e-02
     -4.096552e-01      5.361581e-02
     -4.066805e-01      4.387808e-02
     -4.154141e-01      3.809830e-02
     -4.106545e-01      3.333564e-02
     -4.222809e-01      3.161471e-02
     -4.220691e-01      2.827785e-02
     -4.255630e-01      2.581581e-02
     -4.298720e-01      2.395721e-02
     -4.302373e-01      2.204045e-02
     -4.291846e-01      2.043263e-02
     -4.336251e-01      1.953316e-02
     -4.352041e-01      1.833970e-02
     -4.358310e-01      1.723855e-02
     -4.381465e-01      1.641677e-02
     -4.369174e-01      1.557728e-02
     -4.331679e-01      1.524614e-02
     -4.340961e-01      1.453165e-02
     -4.317401e-01      1.405426e-02
     -4.331674e-01      1.350495e-02
     -4.360156e-01      1.323999e-02
     -4.354809e-01      1.271060e-02
     -4.339636e-01      1.230585e-02
     -4.356721e-01      1.196393e-02
     -4.361501e-01      1.153864e-02
     -4.335158e-01      1.144105e-02
     -4.326804e-01      1.108462e-02
     -4.332874e-01      1.073826e-02
     -4.316290e-01      1.052869e-02
     -4.338549e-01      1.044459e-02
     -4.303289e-01      1.072870e-02
     -4.312326e-01      1.045678e-02
     -4.328611e-01      1.029181e-02
     -4.310084e-01      1.017981e-02
     -4.309150e-01      9.908740e-03
     -4.323205e-01      9.753130e-03
     -4.294045e-01      9.943353e-03
     -4.301417e-01      9.725780e-03
     -4.312623e-01      9.557309e-03
     -4.338154e-01      9.675336e-03
     -4.330463e-01      9.484125e-03
     -4.341383e-01      9.335065e-03
     -4.343198e-01      9.131679e-03
     -4.324934e-01      9.120023e-03
     -4.333605e-01      8.970008e-03
     -4.322708e-01      8.852369e-03
     -4.336858e-01      8.788183e-03
