#  LAST <H>         ERROR
      5.439452e+00      3.921880e-01
     -2.143724e-01      2.940303e-02
     -2.637496e-01      2.762890e-02
     -3.220719e-01      1.252909e-02
     -2.564982e-01      1.237959e-02
     -2.544815e-01      2.468250e-02
     -4.366262e-01      8.380171e-03
     -4.061339e-01      9.099293e-03
     -2.830166e-01      2.809431e-02
     -2.824114e-01      2.481267e-02
     -2.506709e-01      2.478821e-02
     -2.598758e-01      1.720418e-02
     -1.307857e-01      6.854185e-02
     -2.070558e-01      2.312034e-02
     -1.674343e-01      5.276725e-02
     -2.246618e-01      1.657533e-02
     -2.699371e-01      1.957758e-02
     -2.730525e-01      1.076677e-02
     -4.153265e-01      1.057868e-02
     -4.290330e-01      5.208918e-03
     -4.302253e-01      5.178597e-03
     -4.209302e-01      8.579565e-03
     -4.257171e-01      7.877281e-03
     -4.242664e-01      1.063257e-02
     -4.350020e-01      5.638081e-03
     -4.297772e-01      1.297909e-02
     -4.413250e-01      8.483406e-03
     -4.334535e-01      8.648637e-03
     -4.272499e-01      6.082977e-03
     -4.180727e-01      1.549098e-02
     -4.314184e-01      5.437845e-03
     -4.339424e-01      6.696073e-03
     -4.277804e-01      6.303506e-03
     -4.325440e-01      8.130464e-03
     -4.277046e-01      7.241963e-03
     -4.331910e-01      7.283597e-03
     -4.350962e-01      8.816278e-03
     -4.222927e-01      8.168478e-03
     -4.308028e-01      7.972850e-03
     -4.107036e-01      7.031174e-03
     -4.007345e-01      1.520283e-02
