#     BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
           1      1.7867      1.7867           0
           2     1.77421     1.78046  0.00441812
           3     1.76741     1.77611  0.00461411
           4     1.78081     1.77728  0.00360747
           5     1.77348     1.77652   0.0029651
           6     1.75849     1.77352  0.00369169
           7     1.74783     1.76985  0.00464277
           8     1.75131     1.76753  0.00460427
           9     1.72926     1.76328  0.00572909
          10     1.74522     1.76147  0.00543321
          11     1.73542      1.7591  0.00543094
          12     1.74488     1.75792  0.00510617
          13     1.78752      1.7602  0.00519621
          14     1.79814     1.76291  0.00548638
          15     1.75691     1.76251  0.00513516
          16     1.73209      1.7606  0.00515415
          17     1.74396     1.75963  0.00494306
          18     1.81545     1.76273  0.00555672
          19     1.85692     1.76768  0.00714117
          20     1.82216     1.77041  0.00728507
          21      1.8102      1.7723  0.00718034
          22     1.81863     1.77441  0.00715603
          23     1.83356     1.77698  0.00729237
          24     1.78731     1.77741   0.0070012
          25     1.76735     1.77701  0.00673271
          26     1.78157     1.77718  0.00647604
          27     1.82147     1.77882  0.00644059
          28      1.7527     1.77789   0.0062778
          29       1.745     1.77676  0.00616295
          30     1.77297     1.77663  0.00595881
          31     1.77152     1.77647  0.00576887
          32     1.75463     1.77578  0.00562879
          33     1.74273     1.77478  0.00554663
          34     1.71259     1.77295  0.00567714
          35     1.71409     1.77127  0.00575866
          36     1.73803     1.77035  0.00567224
          37     1.78905     1.77085  0.00554142
          38     1.84051     1.77269  0.00569072
          39     1.86847     1.77514  0.00605166
          40     1.83751      1.7767   0.0060979
          41     1.76483     1.77641  0.00595604
          42     1.73078     1.77533   0.0059125
          43     1.72394     1.77413  0.00589453
          44     1.72693     1.77306  0.00585738
          45     1.77166     1.77303   0.0057273
          46      1.8183     1.77401  0.00568672
          47     1.83084     1.77522  0.00569281
          48     1.79524     1.77564  0.00558947
          49     1.73179     1.77474  0.00554657
          50     1.73851     1.77402  0.00548277
          51     1.79441     1.77442  0.00538983
          52     1.81796     1.77525  0.00535083
          53     1.77165     1.77519   0.0052503
          54     1.74682     1.77466  0.00517929
          55     1.72409     1.77374  0.00516609
          56     1.71328     1.77266  0.00518544
          57     1.69663     1.77133  0.00526324
          58     1.68792     1.76989  0.00536536
          59     1.71255     1.76892  0.00536173
          60     1.72091     1.76812  0.00533173
          61     1.75956     1.76798  0.00524617
          62      1.7592     1.76784  0.00516347
          63     1.74153     1.76742  0.00509836
          64     1.71879     1.76666    0.005075
          65     1.72159     1.76597  0.00504408
          66     1.74846      1.7657  0.00497462
          67     1.72841     1.76514   0.0049314
          68     1.73687     1.76473  0.00487638
          69     1.74284     1.76441  0.00481602
          70     1.73558       1.764   0.0047648
          71     1.72674     1.76347  0.00472649
          72     1.73173     1.76303  0.00468136
          73     1.74937     1.76285  0.00462097
          74     1.74775     1.76264  0.00456303
          75     1.73155     1.76223  0.00452098
          76     1.70479     1.76147  0.00452422
          77     1.69136     1.76056  0.00455617
          78      1.7301     1.76017  0.00451446
          79     1.77871     1.76041  0.00446341
          80     1.79437     1.76083  0.00442776
          81      1.8272     1.76165  0.00444826
          82     1.82572     1.76243  0.00446211
          83     1.80798     1.76298  0.00444197
          84     1.78434     1.76323  0.00439636
          85     1.78866     1.76353   0.0043548
          86     1.77666     1.76369  0.00430684
          87     1.77879     1.76386  0.00426083
          88     1.76726      1.7639  0.00421259
          89     1.75171     1.76376  0.00416748
          90     1.76066     1.76373  0.00412131
          91      1.7786     1.76389  0.00407926
          92     1.81391     1.76443    0.004071
          93     1.79923     1.76481  0.00404438
          94     1.81458     1.76534  0.00403587
          95     1.79191     1.76562  0.00400306
          96      1.7333     1.76528  0.00397549
          97     1.72659     1.76488  0.00395447
          98     1.75359     1.76477  0.00391579
          99     1.73484     1.76446  0.00388789
         100     1.74018     1.76422  0.00385658
