#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
           1   -0.424651   -0.424651           0
           2   -0.412207   -0.418429  0.00439957
           3   -0.405519   -0.414126  0.00457689
           4   -0.418776   -0.415288  0.00357728
           5   -0.411575   -0.414545  0.00293792
           6   -0.396461   -0.411531    0.003683
           7   -0.385831    -0.40786  0.00463899
           8    -0.38926   -0.405535  0.00460502
           9   -0.367329    -0.40129  0.00572483
          10   -0.383016   -0.399463  0.00543617
          11   -0.373193   -0.397074   0.0054413
          12   -0.383051   -0.395906  0.00511181
          13   -0.425445   -0.398178  0.00519915
          14   -0.436021   -0.400881  0.00548564
          15   -0.394851   -0.400479  0.00513463
          16    -0.36992   -0.398569  0.00515672
          17    -0.38199   -0.397594  0.00494475
          18   -0.453508     -0.4007  0.00556081
          19   -0.494885   -0.405657  0.00714371
          20   -0.459987   -0.408374  0.00728472
          21   -0.448145   -0.410268   0.0071798
          22   -0.456606   -0.412374  0.00715573
          23   -0.471384    -0.41494  0.00729007
          24   -0.425136   -0.415365  0.00699868
          25   -0.405227   -0.414959  0.00673048
          26   -0.419629   -0.415139  0.00647401
          27   -0.459298   -0.416774  0.00643751
          28   -0.390497   -0.415836  0.00627563
          29   -0.382978   -0.414703  0.00616066
          30   -0.410989   -0.414579  0.00595655
          31    -0.40943   -0.414413  0.00576672
          32   -0.392626   -0.413732  0.00562655
          33   -0.380789   -0.412734   0.0055439
          34   -0.350546   -0.410905  0.00567455
          35    -0.35226   -0.409229  0.00575449
          36   -0.376255   -0.408313  0.00566707
          37   -0.427406   -0.408829  0.00553735
          38   -0.478772    -0.41067  0.00568932
          39   -0.506557   -0.413128  0.00605141
          40   -0.475475   -0.414687  0.00609756
          41   -0.402856   -0.414398  0.00595566
          42     -0.3688   -0.413313  0.00591199
          43   -0.361899   -0.412117  0.00589417
          44   -0.364971   -0.411046  0.00585679
          45   -0.409604   -0.411014  0.00572673
          46   -0.456387      -0.412  0.00568655
          47   -0.468608   -0.413204  0.00569168
          48   -0.433014   -0.413617  0.00558805
          49   -0.369619   -0.412719  0.00554568
          50   -0.376456   -0.411994  0.00548198
          51   -0.432457   -0.412395  0.00538916
          52   -0.455752   -0.413229  0.00534963
          53   -0.409532   -0.413159  0.00524915
          54   -0.384748   -0.412633  0.00517824
          55   -0.361943   -0.411711  0.00516546
          56   -0.351202   -0.410631    0.005185
          57   -0.334584   -0.409297  0.00526288
          58   -0.325974    -0.40786  0.00536463
          59   -0.350591    -0.40689   0.0053608
          60   -0.358899    -0.40609  0.00533079
          61   -0.397555    -0.40595  0.00524524
          62   -0.397082   -0.405807  0.00516259
          63   -0.379483   -0.405389  0.00509752
          64   -0.356684   -0.404628  0.00507436
          65   -0.359548   -0.403934  0.00504346
          66   -0.386374   -0.403668  0.00497406
          67   -0.366282    -0.40311  0.00493102
          68   -0.374687   -0.402692  0.00487619
          69   -0.380548   -0.402371  0.00481607
          70    -0.37338   -0.401957  0.00476504
          71   -0.364529    -0.40143    0.004727
          72   -0.369535   -0.400987  0.00468206
          73   -0.387062   -0.400796  0.00462181
          74   -0.385519    -0.40059  0.00456396
          75   -0.369201   -0.400171  0.00452225
          76   -0.342551   -0.399413  0.00452586
          77   -0.329187   -0.398501  0.00455805
          78   -0.368003    -0.39811  0.00451635
          79   -0.416491   -0.398343  0.00446517
          80   -0.432211   -0.398766  0.00442938
          81   -0.465053   -0.399585  0.00444965
          82   -0.463592   -0.400365  0.00446333
          83   -0.445755   -0.400912  0.00444293
          84   -0.422181   -0.401165  0.00439725
          85    -0.42649   -0.401463   0.0043556
          86   -0.414614   -0.401616  0.00430763
          87   -0.416619   -0.401788  0.00426157
          88   -0.405095   -0.401826  0.00421331
          89   -0.389599   -0.401689  0.00416821
          90   -0.398531   -0.401654  0.00412204
          91   -0.416501   -0.401817  0.00407997
          92    -0.45181    -0.40236  0.00407165
          93   -0.437029   -0.402733   0.0040449
          94    -0.45239   -0.403261  0.00403622
          95   -0.429711    -0.40354  0.00400332
          96   -0.371061   -0.403201  0.00397589
          97   -0.364441   -0.402802  0.00395493
          98   -0.391508   -0.402686  0.00391625
          99    -0.37259   -0.402382  0.00388848
         100   -0.378085   -0.402139  0.00385718
