#     BLOCK:   ACTUAL_P:     P_AVE:       ERROR:
           1   0.0594854   0.0594854           0
           2   0.0590174   0.0592514  0.00016546
           3   0.0588775   0.0591268 0.000150087
           4   0.0592491   0.0591574  0.00011564
           5   0.0590321   0.0591323 9.51884e-05
           6   0.0585796   0.0590402 0.000115603
           7    0.058199     0.05892 0.000148989
           8   0.0582872   0.0588409 0.000149898
           9   0.0576629     0.05871 0.000181615
          10   0.0580681   0.0586458 0.000174428
          11   0.0577617   0.0585655 0.000176117
          12   0.0580819   0.0585252 0.000165988
          13   0.0595718   0.0586057 0.000171638
          14   0.0598541   0.0586948 0.000181066
          15   0.0585757   0.0586869 0.000169169
          16   0.0576202   0.0586202 0.000171229
          17    0.058021    0.058585 0.000164745
          18   0.0603691   0.0586841 0.000182996
          19   0.0618127   0.0588488 0.000236098
          20   0.0606154   0.0589371 0.000240249
          21   0.0601624   0.0589954 0.000235787
          22   0.0605624   0.0590667 0.000235582
          23   0.0610012   0.0591508 0.000239886
          24   0.0595567   0.0591677 0.000230486
          25   0.0587968   0.0591529 0.000221743
          26   0.0593157   0.0591591 0.000213303
          27   0.0606445   0.0592141 0.000212379
          28   0.0583106   0.0591819 0.000207231
          29   0.0580064   0.0591413 0.000204011
          30   0.0589877   0.0591362 0.000197275
          31   0.0589073   0.0591288 0.000191049
          32    0.058369   0.0591051 0.000186548
          33   0.0579845   0.0590711  0.00018396
          34   0.0569837   0.0590097 0.000188517
          35   0.0569651   0.0589513 0.000191969
          36   0.0577832   0.0589189 0.000189359
          37   0.0594923   0.0589344 0.000184875
          38   0.0612821   0.0589961 0.000190053
          39   0.0622473   0.0590795  0.00020264
          40   0.0610949   0.0591299 0.000203741
          41   0.0587142   0.0591198 0.000199024
          42   0.0576017   0.0590836  0.00019754
          43   0.0573568   0.0590435 0.000196986
          44   0.0574466   0.0590072 0.000195824
          45   0.0589247   0.0590053 0.000191481
          46   0.0605438   0.0590388 0.000190216
          47   0.0609883   0.0590803 0.000190638
          48   0.0597098   0.0590934 0.000187117
          49   0.0576302   0.0590635 0.000185665
          50   0.0577755   0.0590377 0.000183731
          51   0.0597032   0.0590508 0.000180591
          52   0.0604912   0.0590785  0.00017923
          53   0.0589614   0.0590763 0.000175862
          54   0.0581323   0.0590588 0.000173472
          55   0.0573683   0.0590281 0.000173019
          56   0.0570127   0.0589921 0.000173632
          57   0.0564509   0.0589475 0.000176216
          58   0.0561862   0.0588999 0.000179494
          59   0.0569443   0.0588667 0.000179486
          60    0.057273   0.0588402 0.000178449
          61    0.058563   0.0588356 0.000175582
          62   0.0585221   0.0588306 0.000172823
          63   0.0579749    0.058817 0.000170612
          64   0.0571776   0.0587914 0.000169859
          65   0.0573409   0.0587691 0.000168705
          66   0.0581624   0.0587599 0.000166399
          67   0.0575605    0.058742 0.000164875
          68   0.0577747   0.0587278 0.000163063
          69   0.0580608   0.0587181 0.000160986
          70   0.0577833   0.0587047 0.000159239
          71   0.0573936   0.0586863 0.000158064
          72    0.057708   0.0586727 0.000156451
          73   0.0582679   0.0586671 0.000154406
          74   0.0581675   0.0586604 0.000152467
          75   0.0576414   0.0586468 0.000151038
          76   0.0567629    0.058622 0.000151072
          77   0.0562877   0.0585917 0.000152121
          78   0.0576045    0.058579 0.000150696
          79   0.0591809   0.0585867 0.000148981
          80   0.0597603   0.0586013 0.000147839
          81   0.0608009   0.0586285 0.000148487
          82   0.0607203    0.058654 0.000148851
          83    0.060213   0.0586728 0.000148238
          84   0.0593476   0.0586808 0.000146691
          85   0.0595064   0.0586905 0.000145287
          86   0.0591147   0.0586954 0.000143681
          87   0.0591569   0.0587008 0.000142127
          88   0.0588023   0.0587019 0.000140517
          89   0.0583061   0.0586975 0.000139008
          90   0.0586164   0.0586966 0.000137467
          91   0.0592069   0.0587022 0.000136071
          92   0.0603255   0.0587198 0.000135731
          93    0.059893   0.0587324 0.000134856
          94   0.0603998   0.0587502 0.000134583
          95   0.0596383   0.0587595 0.000133491
          96   0.0576576    0.058748 0.000132593
          97   0.0574558   0.0587347 0.000131893
          98   0.0583927   0.0587312 0.000130594
          99   0.0576869   0.0587207   0.0001297
         100    0.057911   0.0587126 0.000128655
