#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
           1     1.19114     1.19114           0
           2     1.18281     1.18697  0.00294541
           3     1.17827     1.18407  0.00307607
           4     1.18721     1.18485  0.00240498
           5     1.18232     1.18435  0.00197673
           6     1.17233     1.18234  0.00246112
           7     1.16522      1.1799  0.00309518
           8     1.16754     1.17835  0.00306951
           9     1.15284     1.17552  0.00381939
          10     1.16348     1.17432  0.00362214
          11     1.15695     1.17274  0.00362063
          12     1.16325     1.17195  0.00340411
          13     1.19168     1.17346  0.00346414
          14     1.19876     1.17527  0.00365759
          15     1.17127       1.175  0.00342344
          16     1.15472     1.17374   0.0034361
          17     1.16264     1.17308  0.00329537
          18      1.2103     1.17515  0.00370448
          19     1.23795     1.17846  0.00476078
          20     1.21477     1.18027  0.00485671
          21      1.2068     1.18154  0.00478689
          22     1.21242     1.18294  0.00477069
          23     1.22237     1.18465  0.00486158
          24     1.19154     1.18494  0.00466747
          25     1.17823     1.18467  0.00448847
          26     1.18771     1.18479  0.00431736
          27     1.21432     1.18588  0.00429373
          28     1.16846     1.18526   0.0041852
          29     1.16333      1.1845  0.00410864
          30     1.18198     1.18442  0.00397254
          31     1.18101     1.18431  0.00384591
          32     1.16976     1.18386  0.00375253
          33     1.16182     1.18319  0.00369775
          34     1.14172     1.18197  0.00378476
          35     1.14273     1.18085   0.0038391
          36     1.15869     1.18023  0.00378149
          37      1.1927     1.18057  0.00369428
          38     1.22701     1.18179  0.00379381
          39     1.24565     1.18343  0.00403444
          40       1.225     1.18447  0.00406526
          41     1.17655     1.18427  0.00397069
          42     1.15385     1.18355  0.00394167
          43     1.14929     1.18275  0.00392969
          44     1.15128     1.18204  0.00390492
          45     1.18111     1.18202   0.0038182
          46      1.2122     1.18267  0.00379115
          47     1.22056     1.18348  0.00379521
          48     1.19683     1.18376  0.00372631
          49     1.15453     1.18316  0.00369772
          50     1.15901     1.18268  0.00365518
          51     1.19627     1.18294  0.00359322
          52     1.21197      1.1835  0.00356722
          53      1.1811     1.18346   0.0035002
          54     1.16455     1.18311  0.00345286
          55     1.14939     1.18249  0.00344406
          56     1.14219     1.18177  0.00345696
          57     1.13109     1.18089  0.00350883
          58     1.12528     1.17993  0.00357691
          59      1.1417     1.17928  0.00357449
          60     1.14728     1.17875  0.00355449
          61     1.17304     1.17865  0.00349745
          62      1.1728     1.17856  0.00344231
          63     1.16102     1.17828  0.00339891
          64     1.14586     1.17777  0.00338333
          65     1.14772     1.17731  0.00336272
          66     1.16564     1.17713  0.00331641
          67     1.15227     1.17676   0.0032876
          68     1.15791     1.17649  0.00325092
          69     1.16189     1.17627  0.00321068
          70     1.15705       1.176  0.00317653
          71     1.15116     1.17565    0.003151
          72     1.15449     1.17536  0.00312091
          73     1.16624     1.17523  0.00308065
          74     1.16516     1.17509  0.00304202
          75     1.15437     1.17482  0.00301399
          76     1.13653     1.17431  0.00301615
          77     1.12757     1.17371  0.00303744
          78      1.1534     1.17345  0.00300964
          79     1.18581      1.1736  0.00297561
          80     1.19624     1.17389  0.00295184
          81     1.21813     1.17443  0.00296551
          82     1.21715     1.17495  0.00297474
          83     1.20532     1.17532  0.00296131
          84     1.18956     1.17549   0.0029309
          85     1.19244     1.17569   0.0029032
          86     1.18444     1.17579  0.00287123
          87     1.18586     1.17591  0.00284055
          88     1.17817     1.17593  0.00280839
          89     1.16781     1.17584  0.00277832
          90     1.17378     1.17582  0.00274754
          91     1.18573     1.17593  0.00271951
          92     1.20927     1.17629    0.002714
          93     1.19949     1.17654  0.00269626
          94     1.20972     1.17689  0.00269058
          95      1.1946     1.17708  0.00266871
          96     1.15553     1.17685  0.00265033
          97     1.15106     1.17659  0.00263631
          98     1.16906     1.17651  0.00261053
          99     1.15656     1.17631  0.00259192
         100     1.16012     1.17615  0.00257106
