#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1     1.36205     1.36205           0
           2       1.362     1.36203  1.8547e-05
           3     1.36189     1.36198 4.00803e-05
           4     1.36204     1.36199 3.24057e-05
           5      1.3619     1.36198 3.05135e-05
           6     1.36203     1.36199 2.68507e-05
           7       1.362     1.36199 2.30821e-05
           8     1.36205       1.362 2.16428e-05
           9     1.36193     1.36199  2.0396e-05
          10     1.36221     1.36201 2.77542e-05
          11     1.36223     1.36203 3.15631e-05
          12     1.36183     1.36201 3.32489e-05
          13     1.36207     1.36202 3.09853e-05
          14     1.36211     1.36202  2.9525e-05
          15     1.36206     1.36203 2.76526e-05
          16     1.36217     1.36204 2.72697e-05
          17     1.36197     1.36203 2.59148e-05
          18     1.36194     1.36203  2.4999e-05
          19     1.36204     1.36203 2.36882e-05
          20     1.36217     1.36203 2.36031e-05
          21     1.36205     1.36204 2.24958e-05
          22     1.36202     1.36203 2.14842e-05
          23     1.36217     1.36204 2.13793e-05
          24     1.36217     1.36205 2.11678e-05
          25     1.36213     1.36205 2.05577e-05
          26     1.36194     1.36205 2.01906e-05
          27     1.36218     1.36205 2.00137e-05
          28      1.3622     1.36206 2.00007e-05
          29     1.36202     1.36205 1.93533e-05
          30     1.36198     1.36205 1.88497e-05
          31     1.36209     1.36205 1.82824e-05
          32     1.36201     1.36205  1.7763e-05
          33     1.36194     1.36205 1.75502e-05
          34     1.36204     1.36205 1.70359e-05
          35     1.36183     1.36204 1.76438e-05
          36     1.36177     1.36203 1.86526e-05
          37     1.36165     1.36202 2.08799e-05
          38     1.36174     1.36202 2.16372e-05
          39     1.36192     1.36201 2.12311e-05
          40     1.36203     1.36201 2.07045e-05
          41     1.36197     1.36201 2.02252e-05
          42     1.36198     1.36201 1.97613e-05
          43     1.36204     1.36201 1.93125e-05
          44     1.36195     1.36201 1.89191e-05
          45     1.36206     1.36201 1.85256e-05
          46     1.36191     1.36201 1.82532e-05
          47     1.36223     1.36202 1.84464e-05
          48     1.36223     1.36202 1.85909e-05
          49     1.36217     1.36202 1.84586e-05
          50     1.36205     1.36202 1.80998e-05
          51     1.36195     1.36202 1.78009e-05
          52     1.36221     1.36203 1.78191e-05
          53     1.36212     1.36203 1.75692e-05
          54     1.36207     1.36203 1.72647e-05
          55     1.36215     1.36203  1.7082e-05
          56     1.36208     1.36203 1.67976e-05
          57     1.36204     1.36203 1.65043e-05
          58     1.36195     1.36203 1.62844e-05
          59     1.36195     1.36203 1.60584e-05
          60     1.36201     1.36203 1.57924e-05
          61       1.362     1.36203 1.55391e-05
          62     1.36212     1.36203 1.53575e-05
          63     1.36205     1.36203 1.51166e-05
          64     1.36211     1.36203 1.49269e-05
          65     1.36204     1.36203 1.46977e-05
          66     1.36209     1.36203 1.44981e-05
          67     1.36213     1.36203  1.4356e-05
          68     1.36218     1.36204 1.43136e-05
          69     1.36229     1.36204 1.45715e-05
          70      1.3622     1.36204 1.45385e-05
          71     1.36221     1.36204 1.45343e-05
          72      1.3622     1.36205 1.44921e-05
          73      1.3623     1.36205 1.47181e-05
          74     1.36223     1.36205 1.47143e-05
          75     1.36235     1.36206 1.50388e-05
          76     1.36224     1.36206 1.50307e-05
          77     1.36218     1.36206 1.49122e-05
          78      1.3621     1.36206 1.47298e-05
          79     1.36222     1.36206 1.46818e-05
          80     1.36216     1.36206 1.45442e-05
          81     1.36215     1.36206 1.44005e-05
          82     1.36213     1.36207 1.42445e-05
          83     1.36222     1.36207 1.42003e-05
          84     1.36216     1.36207 1.40722e-05
          85     1.36217     1.36207  1.3956e-05
          86     1.36205     1.36207 1.37956e-05
          87     1.36217     1.36207 1.36815e-05
          88     1.36217     1.36207 1.35692e-05
          89     1.36212     1.36207 1.34259e-05
          90     1.36213     1.36207 1.32941e-05
          91      1.3621     1.36207 1.31511e-05
          92      1.3621     1.36207 1.30113e-05
          93      1.3622     1.36207  1.2947e-05
          94     1.36219     1.36208  1.2866e-05
          95      1.3622     1.36208 1.27927e-05
          96     1.36224     1.36208 1.27738e-05
          97     1.36215     1.36208 1.26625e-05
          98     1.36209     1.36208 1.25335e-05
          99     1.36225     1.36208 1.25302e-05
         100      1.3621     1.36208 1.24057e-05
