#     BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
                 1      1.776788e+00      1.776788e+00      0.000000e+00
                 2      1.785993e+00      1.781391e+00      3.254574e-03
                 3      1.807588e+00      1.790123e+00      7.452893e-03
                 4      1.753215e+00      1.780896e+00      9.751806e-03
                 5      1.776591e+00      1.780035e+00      7.839363e-03
                 6      1.836358e+00      1.789422e+00      1.077548e-02
                 7      1.831672e+00      1.795458e+00      1.079494e-02
                 8      1.797329e+00      1.795692e+00      9.448102e-03
                 9      1.774219e+00      1.793306e+00      8.694332e-03
                10      1.817524e+00      1.795728e+00      8.155224e-03
                11      1.775769e+00      1.793913e+00      7.613003e-03
                12      1.779606e+00      1.792721e+00      7.071333e-03
                13      1.803881e+00      1.793579e+00      6.579285e-03
                14      1.847184e+00      1.797408e+00      7.137020e-03
                15      1.878214e+00      1.802795e+00      8.453229e-03
                16      1.840894e+00      1.805176e+00      8.253462e-03
                17      1.776543e+00      1.803492e+00      7.937972e-03
                18      1.783973e+00      1.802408e+00      7.570684e-03
                19      1.804389e+00      1.802512e+00      7.172945e-03
                20      1.803927e+00      1.802583e+00      6.814647e-03
