#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
           1   -0.384543   -0.384543           0
           2   -0.393884   -0.389214  0.00330256
           3    -0.41545   -0.397959  0.00747231
           4   -0.361071   -0.388737  0.00975666
           5   -0.384436   -0.387877  0.00784316
           6   -0.444088   -0.397245   0.0107639
           7   -0.439461   -0.403276   0.0107841
           8   -0.405155   -0.403511  0.00943866
           9   -0.382147   -0.401137  0.00868327
          10   -0.425463    -0.40357  0.00814857
          11   -0.383708   -0.401764  0.00760522
          12   -0.387558    -0.40058  0.00706299
          13   -0.411684   -0.401434  0.00657113
          14    -0.45493   -0.405256  0.00712668
          15   -0.485847   -0.410628  0.00843717
          16    -0.44851   -0.412996  0.00823533
          17   -0.384161     -0.4113  0.00792365
          18   -0.391697   -0.410211  0.00755791
          19   -0.412211   -0.410316  0.00716086
          20    -0.41162   -0.410381  0.00680312
