#     BLOCK:   ACTUAL_P:     P_AVE:       ERROR:
           1   0.0591216   0.0591216           0
           2   0.0594622   0.0592919 0.000120408
           3   0.0601831    0.059589 0.000255493
           4   0.0583612    0.059282 0.000327691
           5   0.0590872   0.0592431  0.00026446
           6   0.0610944   0.0595516 0.000357646
           7   0.0609777   0.0597554 0.000359928
           8   0.0598158   0.0597629 0.000315016
           9    0.059047   0.0596834 0.000289885
          10   0.0604939   0.0597644 0.000271993
          11   0.0590866   0.0597028 0.000254151
          12   0.0592384   0.0596641 0.000235899
          13   0.0600342   0.0596926 0.000219465
          14   0.0614698   0.0598195 0.000237684
          15    0.062536   0.0600006 0.000282531
          16   0.0612815   0.0600807 0.000275982
          17   0.0591257   0.0600245 0.000265403
          18   0.0593805   0.0599887 0.000253059
          19   0.0600451   0.0599917 0.000239757
          20   0.0600649   0.0599953 0.000227797
