#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
           1     1.20021     1.20021           0
           2     1.18288     1.19155  0.00612559
           3     1.18767     1.19025  0.00421746
           4     1.17335     1.18603  0.00483743
           5     1.16056     1.18093  0.00597776
           6     1.15012      1.1758  0.00684088
           7     1.16057     1.17362      0.0062
           8     1.17137     1.17334  0.00543142
           9     1.16397      1.1723  0.00492674
          10     1.18216     1.17329  0.00453164
          11     1.19094     1.17489  0.00439459
          12      1.1787     1.17521  0.00403984
          13     1.20005     1.17712  0.00415658
          14     1.20536     1.17914  0.00432146
          15      1.1963     1.18028  0.00418217
          16     1.19655      1.1813  0.00404251
          17     1.19198     1.18193  0.00385327
          18     1.19148     1.18246  0.00367556
          19     1.18128     1.18239  0.00348263
          20     1.16026     1.18129  0.00347991
          21     1.17129     1.18081   0.0033466
          22     1.16218     1.17996  0.00329993
          23     1.16273     1.17921  0.00324044
          24     1.17383     1.17899  0.00311319
          25     1.20144     1.17989  0.00311545
          26     1.18328     1.18002  0.00299835
          27     1.22918     1.18184  0.00339536
          28     1.24126     1.18396  0.00388095
          29     1.22574      1.1854  0.00400565
          30     1.24001     1.18722  0.00426576
          31     1.18791     1.18724  0.00412821
          32     1.21551     1.18813  0.00409259
          33     1.20032      1.1885  0.00398521
          34     1.18459     1.18838  0.00386965
          35     1.18404     1.18826  0.00376108
          36     1.17124     1.18779  0.00368621
          37     1.17335      1.1874  0.00360718
          38     1.17389     1.18704  0.00352973
          39      1.1701     1.18661  0.00346585
          40     1.17326     1.18627  0.00339522
          41     1.17279     1.18594  0.00332829
          42     1.15894      1.1853  0.00331057
          43     1.17108     1.18497  0.00325005
          44     1.18247     1.18491  0.00317668
          45     1.17021     1.18459  0.00312284
          46     1.17988     1.18448  0.00305662
          47     1.18342     1.18446  0.00299167
          48     1.18942     1.18456  0.00293113
          49     1.17695     1.18441  0.00287542
          50     1.18728     1.18447  0.00281849
          51     1.18178     1.18441  0.00276372
          52      1.1851     1.18443   0.0027106
          53     1.18166     1.18437  0.00265996
          54     1.18747     1.18443  0.00261132
          55     1.20379     1.18478  0.00258745
          56     1.20693     1.18518  0.00257129
          57     1.21114     1.18563  0.00256621
          58     1.22007     1.18623  0.00258974
          59     1.20315     1.18652  0.00256167
          60     1.20137     1.18676  0.00253091
          61     1.18644     1.18676  0.00248943
          62     1.15758     1.18629  0.00249335
          63      1.1757     1.18612  0.00245942
          64     1.18513      1.1861  0.00242104
          65     1.17396     1.18592    0.002391
          66     1.17159      1.1857   0.0023646
          67       1.176     1.18556  0.00233373
          68     1.17265     1.18537  0.00230712
          69     1.17629     1.18523  0.00227742
          70      1.1798     1.18516  0.00224621
          71     1.17679     1.18504  0.00221767
          72     1.21136      1.1854   0.0022168
          73     1.23929     1.18614  0.00230607
          74     1.23739     1.18683  0.00237661
          75     1.26747     1.18791  0.00257667
          76      1.2856      1.1892  0.00284536
          77     1.27763     1.19034  0.00303134
          78     1.26401     1.19129  0.00313617
          79     1.24667     1.19199  0.00317385
          80     1.23934     1.19258  0.00318888
          81     1.20466     1.19273    0.003153
          82      1.2268     1.19315   0.0031418
          83     1.22025     1.19347  0.00312087
          84     1.22094      1.1938   0.0031008
          85     1.20746     1.19396  0.00306849
          86     1.23318     1.19442  0.00306651
          87     1.22283     1.19474   0.0030486
          88     1.22795     1.19512  0.00303723
          89     1.21479     1.19534  0.00301113
          90     1.21813     1.19559   0.0029883
          91     1.22117     1.19588  0.00296865
          92      1.2163      1.1961  0.00294467
          93      1.2022     1.19616  0.00291374
          94     1.20597     1.19627  0.00288461
          95     1.20504     1.19636  0.00285572
          96     1.20256     1.19642  0.00282671
          97     1.20531     1.19652  0.00279905
          98     1.21617     1.19672  0.00277766
          99     1.22482       1.197  0.00276407
         100     1.22732      1.1973  0.00275301
