#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1     1.38856     1.38856           0
           2      1.3883     1.38843 9.02723e-05
           3      1.3885     1.38845 6.34235e-05
           4     1.38871     1.38852   7.387e-05
           5     1.38826     1.38847 7.51883e-05
           6     1.38869      1.3885 7.09454e-05
           7     1.38814     1.38845 7.72421e-05
           8     1.38843     1.38845  6.7653e-05
           9     1.38834     1.38844 6.13025e-05
          10     1.38826     1.38842 5.75839e-05
          11     1.38846     1.38842 5.24951e-05
          12     1.38818      1.3884 5.17366e-05
          13     1.38807     1.38838 5.37539e-05
          14     1.38852     1.38839 5.08037e-05
          15     1.38818     1.38837 4.92579e-05
          16      1.3885     1.38838 4.67859e-05
          17     1.38834     1.38838 4.40906e-05
          18     1.38821     1.38837 4.26782e-05
          19     1.38843     1.38837 4.05471e-05
          20      1.3883     1.38837 3.86986e-05
          21     1.38833     1.38837 3.69091e-05
          22     1.38832     1.38836 3.53047e-05
          23     1.38826     1.38836 3.40442e-05
          24     1.38819     1.38835 3.33411e-05
          25     1.38814     1.38834 3.30285e-05
          26     1.38838     1.38835 3.17896e-05
          27     1.38781     1.38833 3.63192e-05
          28      1.3884     1.38833 3.51096e-05
          29     1.38818     1.38832 3.42806e-05
          30     1.38843     1.38833  3.3335e-05
          31     1.38859     1.38834 3.33285e-05
          32     1.38805     1.38833 3.34734e-05
          33     1.38864     1.38834 3.38092e-05
          34     1.38811     1.38833   3.344e-05
          35     1.38841     1.38833 3.25626e-05
          36     1.38831     1.38833 3.16631e-05
          37     1.38815     1.38833  3.1176e-05
          38     1.38839     1.38833 3.04051e-05
          39     1.38825     1.38833 2.96979e-05
          40     1.38828     1.38833 2.89772e-05
          41     1.38833     1.38833  2.8271e-05
          42     1.38837     1.38833 2.76222e-05
          43     1.38803     1.38832  2.7845e-05
          44     1.38827     1.38832  2.7236e-05
          45     1.38851     1.38832 2.69473e-05
          46       1.388     1.38832 2.72793e-05
          47     1.38817     1.38831 2.68726e-05
          48     1.38851     1.38832 2.66394e-05
          49     1.38823     1.38831 2.61534e-05
          50     1.38802     1.38831 2.62878e-05
          51     1.38834     1.38831 2.57806e-05
          52     1.38812     1.38831 2.55334e-05
          53     1.38824      1.3883 2.50782e-05
          54     1.38801      1.3883 2.52043e-05
          55     1.38807      1.3883 2.50834e-05
          56     1.38817     1.38829 2.47392e-05
          57     1.38813     1.38829 2.44785e-05
          58     1.38836     1.38829 2.40891e-05
          59     1.38804     1.38829  2.4067e-05
          60     1.38826     1.38829 2.36691e-05
          61     1.38815     1.38828 2.33904e-05
          62     1.38848     1.38829 2.32223e-05
          63     1.38797     1.38828 2.33846e-05
          64     1.38822     1.38828 2.30375e-05
          65     1.38823     1.38828 2.26956e-05
          66     1.38818     1.38828 2.24003e-05
          67     1.38818     1.38828 2.21115e-05
          68     1.38831     1.38828 2.17913e-05
          69     1.38815     1.38828 2.15498e-05
          70     1.38826     1.38828 2.12439e-05
          71      1.3881     1.38827 2.10904e-05
          72     1.38779     1.38827 2.18355e-05
          73      1.3881     1.38826 2.16491e-05
          74     1.38807     1.38826 2.15165e-05
          75     1.38766     1.38825 2.26587e-05
          76      1.3884     1.38826 2.24369e-05
          77     1.38799     1.38825 2.24087e-05
          78     1.38836     1.38825 2.21625e-05
          79     1.38798     1.38825 2.21584e-05
          80     1.38835     1.38825 2.19185e-05
          81     1.38818     1.38825 2.16662e-05
          82     1.38785     1.38825  2.1957e-05
          83     1.38816     1.38824 2.17176e-05
          84     1.38819     1.38824 2.14677e-05
          85     1.38824     1.38824 2.12151e-05
          86     1.38798     1.38824 2.11814e-05
          87     1.38836     1.38824 2.09853e-05
          88     1.38803     1.38824 2.08876e-05
          89     1.38807     1.38824 2.07434e-05
          90     1.38829     1.38824 2.05204e-05
          91     1.38837     1.38824  2.0346e-05
          92     1.38803     1.38824 2.02549e-05
          93     1.38825     1.38824 2.00374e-05
          94     1.38834     1.38824 1.98515e-05
          95     1.38823     1.38824 1.96428e-05
          96     1.38831     1.38824 1.94507e-05
          97     1.38814     1.38824 1.92786e-05
          98     1.38838     1.38824 1.91384e-05
          99     1.38809     1.38824 1.90032e-05
         100     1.38816     1.38824 1.88302e-05
