#     BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
           1     1.69619     1.69619           0
           2     1.66049     1.67834   0.0126225
           3     1.65846     1.67171   0.0100032
           4      1.6173     1.65811   0.0139677
           5     1.63113     1.65271   0.0121719
           6     1.63469     1.64971   0.0105075
           7     1.67243     1.65295   0.0094947
           8     1.66472     1.65443  0.00842104
           9     1.65614     1.65462  0.00748752
          10     1.66429     1.65558  0.00680096
          11     1.65531     1.65556  0.00618273
          12     1.63871     1.65415  0.00582475
          13     1.63436     1.65263  0.00557208
          14     1.64296     1.65194  0.00521672
          15     1.64186     1.65127  0.00491205
          16     1.65116     1.65126  0.00460505
          17     1.64828     1.65109  0.00433751
          18     1.64352     1.65067  0.00411686
          19     1.67559     1.65198  0.00410378
          20     1.60832      1.6498  0.00444126
