#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
           1    -5.11847    -5.11847           0
           2    -5.10801    -5.11324  0.00369993
           3    -5.05163    -5.09271   0.0169488
           4    -4.98364    -5.06544   0.0268174
           5    -5.01475     -5.0553   0.0232917
           6    -5.08925    -5.06096   0.0200853
           7    -5.11262    -5.06834   0.0185222
           8    -4.98011    -5.05731   0.0192117
           9    -5.02641    -5.05388   0.0173812
          10    -5.00263    -5.04875   0.0163812
          11     -4.9165    -5.03673    0.018793
          12    -4.98449    -5.03238    0.017724
          13    -5.02765    -5.03201   0.0163643
          14    -5.12179    -5.03843   0.0164039
          15    -5.09024    -5.04188   0.0156698
          16    -5.03159    -5.04124   0.0147037
          17     -5.0003    -5.03883   0.0140345
          18    -4.99496    -5.03639   0.0134647
          19    -5.06354    -5.03782   0.0128316
          20    -5.10755    -5.04131   0.0126549
          21    -5.04911    -5.04168   0.0120577
          22    -5.04051    -5.04163   0.0115097
          23    -5.03747    -5.04144   0.0110107
          24    -4.97076     -5.0385   0.0109388
          25    -4.99832    -5.03689   0.0106186
          26    -4.98755    -5.03499   0.0103784
          27    -5.05469    -5.03572   0.0100196
          28    -5.07933    -5.03728  0.00978203
          29    -5.08722      -5.039  0.00959507
          30    -4.94442    -5.03585  0.00977947
          31    -5.03332    -5.03577  0.00946435
          32    -5.06133    -5.03657  0.00920223
          33    -5.11258    -5.03887  0.00920713
          34      -5.034    -5.03873  0.00893744
          35    -5.07434    -5.03974  0.00873981
          36    -5.11458    -5.04182  0.00874075
          37    -5.10317    -5.04348  0.00866033
          38    -4.95866    -5.04125  0.00871532
          39    -4.96102    -5.03919  0.00873127
          40    -5.00689    -5.03838  0.00855024
          41    -4.97182    -5.03676  0.00849445
          42    -5.09384    -5.03812   0.0084002
          43    -5.05393    -5.03849  0.00821289
          44    -4.99433    -5.03748  0.00808731
          45    -5.13317    -5.03961  0.00818233
          46    -5.13777    -5.04174  0.00827804
          47    -5.08779    -5.04272  0.00815969
          48    -4.94351    -5.04066  0.00824734
          49    -5.02172    -5.04027  0.00808808
          50    -4.95625    -5.03859  0.00809899
          51    -5.08725    -5.03954  0.00799618
          52    -5.20714    -5.04277  0.00846705
          53    -5.11846     -5.0442  0.00842687
          54    -4.95555    -5.04255  0.00842921
          55     -5.1555    -5.04461  0.00852243
          56    -5.04174    -5.04456   0.0083704
          57    -4.98182    -5.04346  0.00829561
          58    -5.10186    -5.04446  0.00821347
          59    -5.01892    -5.04403  0.00808566
          60    -5.00094    -5.04331  0.00798273
          61    -5.03692    -5.04321  0.00785256
          62    -5.09588    -5.04406  0.00777173
          63    -5.06237    -5.04435   0.0076538
          64    -5.09634    -5.04516   0.0075772
          65    -5.04411    -5.04514  0.00746064
          66    -5.01073    -5.04462  0.00736581
          67    -5.04865    -5.04468  0.00725611
          68    -4.97658    -5.04368  0.00721819
          69      -4.973    -5.04266  0.00718589
          70    -5.00341     -5.0421  0.00710507
          71    -5.05318    -5.04225  0.00700672
          72    -5.15335    -5.04379  0.00707727
          73    -4.88229    -5.04158  0.00731796
          74    -5.00149    -5.04104  0.00723909
          75    -5.02722    -5.04086  0.00714492
          76    -4.94535     -5.0396  0.00716057
          77    -5.03639    -5.03956   0.0070677
          78    -5.03513     -5.0395  0.00697731
          79    -4.95408    -5.03842  0.00697228
          80    -4.99937    -5.03793  0.00690219
          81    -4.95751    -5.03694  0.00688802
          82    -4.98376    -5.03629  0.00683448
          83     -5.0493    -5.03645  0.00675394
          84    -5.02592    -5.03632  0.00667469
          85    -5.07232    -5.03675  0.00660959
          86    -5.13187    -5.03785  0.00662464
          87    -5.00698     -5.0375    0.006558
          88    -5.08196      -5.038  0.00650291
          89    -4.93325    -5.03682   0.0065355
          90    -5.01672     -5.0366   0.0064667
          91    -5.03123    -5.03654   0.0063959
          92    -5.14604    -5.03773  0.00643617
          93     -4.9628    -5.03693   0.0064172
          94    -5.05367     -5.0371  0.00635141
          95    -5.04875    -5.03723  0.00628573
          96    -4.99858    -5.03682  0.00623314
          97    -5.13905    -5.03788  0.00625734
          98    -5.30297    -5.04058  0.00675292
          99    -5.17039    -5.04189  0.00681081
         100    -5.10174    -5.04249  0.00676894
