#     BLOCK:   ACTUAL_P:     P_AVE:       ERROR:
                 1      9.139585e-01      9.139585e-01      0.000000e+00
                 2      8.960212e-01      9.049899e-01      6.341803e-03
                 3      8.953096e-01      9.017631e-01      4.981585e-03
                 4      8.760740e-01      8.953408e-01      6.700254e-03
                 5      8.817560e-01      8.926239e-01      5.885347e-03
                 6      8.845381e-01      8.912762e-01      5.056393e-03
                 7      9.021614e-01      8.928313e-01      4.566907e-03
                 8      8.985638e-01      8.935478e-01      4.051871e-03
                 9      8.934160e-01      8.935332e-01      3.601689e-03
                10      8.975955e-01      8.939394e-01      3.264349e-03
                11      8.947523e-01      8.940133e-01      2.968427e-03
                12      8.859928e-01      8.933449e-01      2.795293e-03
                13      8.850037e-01      8.927033e-01      2.652889e-03
                14      8.880721e-01      8.923725e-01      2.483936e-03
                15      8.871844e-01      8.920266e-01      2.342296e-03
                16      8.922969e-01      8.920435e-01      2.195964e-03
                17      8.911560e-01      8.919913e-01      2.067410e-03
                18      8.886545e-01      8.918059e-01      1.960848e-03
                19      9.057029e-01      8.925374e-01      1.989388e-03
                20      8.711155e-01      8.914663e-01      2.159089e-03
