#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
           1     1.13606     1.13606           0
           2     1.12881     1.13244  0.00256317
           3     1.09263     1.11917    0.010968
           4     1.04636     1.10097     0.01778
           5      1.0673     1.09423   0.0154465
           6     1.11701     1.09803   0.0133303
           7     1.13415     1.10319   0.0123848
           8     1.04471     1.09588   0.0128135
           9     1.07757     1.09384   0.0115502
          10     1.06057     1.09052    0.010864
          11     1.00432     1.08268   0.0123842
          12     1.04973     1.07993   0.0116527
          13     1.07511     1.07956   0.0107623
          14     1.13859     1.08378   0.0107879
          15     1.11827     1.08608   0.0103109
          16      1.0791     1.08564  0.00967568
          17     1.05745     1.08398  0.00924756
          18     1.05623     1.08244   0.0088614
          19       1.101     1.08342  0.00844864
          20     1.13112      1.0858  0.00835605
          21     1.09272     1.08613  0.00796464
          22     1.08496     1.08608  0.00760278
          23     1.08426       1.086  0.00727264
          24     1.03795       1.084  0.00723991
          25     1.05917     1.08301  0.00701811
          26     1.04954     1.08172  0.00686518
          27     1.09376     1.08217  0.00662538
          28     1.10956     1.08314  0.00646058
          29     1.11795     1.08434   0.0063483
          30     1.02119     1.08224  0.00647629
          31     1.07988     1.08216  0.00626783
          32      1.0989     1.08269  0.00609375
          33     1.13352     1.08423   0.0061007
          34      1.0801      1.0841  0.00592247
          35      1.1059     1.08473   0.0057859
          36     1.13236     1.08605  0.00577451
          37     1.12723     1.08716  0.00572466
          38     1.02984     1.08565  0.00576938
          39     1.02961     1.08422  0.00579766
          40     1.05888     1.08358  0.00568722
          41     1.03569     1.08242   0.0056672
          42      1.1167     1.08323  0.00559075
          43     1.09388     1.08348  0.00546622
          44     1.05326     1.08279  0.00538495
          45     1.14505     1.08418  0.00544012
          46     1.14788     1.08556  0.00549529
          47     1.11497     1.08619  0.00541388
          48     1.01936      1.0848  0.00547719
          49     1.07176     1.08453  0.00537187
          50      1.0297     1.08343   0.0053752
          51     1.11487     1.08405  0.00530503
          52     1.19509     1.08618  0.00561638
          53     1.13652     1.08713  0.00559012
          54     1.02837     1.08605  0.00559154
          55     1.16124     1.08741  0.00565454
          56     1.08889     1.08744  0.00555363
          57     1.04552      1.0867  0.00550467
          58     1.12727      1.0874  0.00545402
          59     1.07114     1.08713  0.00536854
          60     1.06027     1.08668  0.00529769
          61     1.08353     1.08663  0.00521109
          62     1.12534     1.08725  0.00516432
          63      1.1009     1.08747  0.00508689
          64     1.12345     1.08803  0.00503838
          65     1.08874     1.08804  0.00496088
          66     1.06425     1.08768   0.0048988
          67      1.0925     1.08775  0.00482621
          68     1.04538     1.08713   0.0047953
          69      1.0408     1.08646  0.00477257
          70     1.06171     1.08611  0.00471747
          71     1.09313     1.08621  0.00465206
          72     1.16152     1.08725  0.00470359
          73    0.979163     1.08577  0.00486663
          74     1.05738     1.08539  0.00481597
          75     1.07743     1.08528  0.00475293
          76     1.02148     1.08444  0.00476395
          77     1.08034     1.08439  0.00470238
          78     1.08067     1.08434  0.00464233
          79     1.02758     1.08362  0.00463884
          80     1.05743     1.08329  0.00459239
          81      1.0294     1.08263  0.00458365
          82     1.04496     1.08217  0.00455072
          83     1.09036     1.08227  0.00449696
          84     1.07586     1.08219  0.00444407
          85     1.10456     1.08246  0.00439957
          86     1.14559     1.08319  0.00440923
          87     1.06326     1.08296   0.0043645
          88     1.11478     1.08332  0.00432986
          89     1.01426     1.08255  0.00435019
          90     1.06875     1.08239  0.00430455
          91       1.076     1.08232  0.00425782
          92     1.15541     1.08312  0.00428501
          93     1.03275     1.08258  0.00427302
          94     1.09362     1.08269  0.00422918
          95     1.09046     1.08277  0.00418545
          96      1.0561      1.0825  0.00415107
          97     1.14837     1.08318  0.00416346
          98     1.25875     1.08497  0.00448992
          99     1.17192     1.08585  0.00452966
         100     1.12379     1.08622  0.00450023
