#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1    -3.37666    -3.37666           0
           2    -3.37646    -3.37656   7.161e-05
           3    -3.37709    -3.37674 0.000150843
           4    -3.37565    -3.37647 0.000260525
           5    -3.37567    -3.37631 0.000252222
           6    -3.37605    -3.37627   0.0002137
           7    -3.37774    -3.37648 0.000267456
           8    -3.37781    -3.37664 0.000281091
           9    -3.37705    -3.37669  0.00025353
          10    -3.37863    -3.37688 0.000293413
          11    -3.37667    -3.37686 0.000267393
          12    -3.37734     -3.3769 0.000248008
          13    -3.37434     -3.3767 0.000297187
          14    -3.37729    -3.37675 0.000278921
          15    -3.37814    -3.37684 0.000275301
          16    -3.37639    -3.37681 0.000259524
          17    -3.37657     -3.3768 0.000244647
          18    -3.37801    -3.37686 0.000240097
          19    -3.37633    -3.37684 0.000229087
          20    -3.37673    -3.37683 0.000217699
