#     BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
                 1      1.198194e+00      1.198194e+00      0.000000e+00
                 2      1.202455e+00      1.200324e+00      1.506578e-03
                 3      1.204462e+00      1.201704e+00      1.509082e-03
                 4      1.202805e+00      1.201979e+00      1.156672e-03
                 5      1.192697e+00      1.200123e+00      1.900866e-03
                 6      1.200289e+00      1.200150e+00      1.584257e-03
                 7      1.202610e+00      1.200502e+00      1.396374e-03
                 8      1.193902e+00      1.199677e+00      1.445087e-03
                 9      1.198964e+00      1.199598e+00      1.286689e-03
                10      1.205239e+00      1.200162e+00      1.275694e-03
                11      1.197283e+00      1.199900e+00      1.186253e-03
                12      1.197498e+00      1.199700e+00      1.104153e-03
                13      1.204163e+00      1.200043e+00      1.071263e-03
                14      1.206532e+00      1.200507e+00      1.090408e-03
                15      1.201001e+00      1.200540e+00      1.018212e-03
                16      1.201878e+00      1.200623e+00      9.580028e-04
                17      1.194319e+00      1.200252e+00      9.707811e-04
                18      1.199484e+00      1.200210e+00      9.177869e-04
                19      1.198441e+00      1.200117e+00      8.741916e-04
                20      1.203022e+00      1.200262e+00      8.424617e-04
