#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
                 1     -5.462929e+00     -5.462929e+00      0.000000e+00
                 2     -5.462645e+00     -5.462787e+00      1.007056e-04
                 3     -5.463148e+00     -5.462907e+00      1.190081e-04
                 4     -5.462935e+00     -5.462914e+00      8.945029e-05
                 5     -5.462454e+00     -5.462822e+00      1.091179e-04
                 6     -5.461878e+00     -5.462665e+00      1.699530e-04
                 7     -5.462820e+00     -5.462687e+00      1.471107e-04
                 8     -5.461784e+00     -5.462574e+00      1.664466e-04
                 9     -5.462528e+00     -5.462569e+00      1.480318e-04
                10     -5.461624e+00     -5.462474e+00      1.606017e-04
                11     -5.462406e+00     -5.462468e+00      1.461219e-04
                12     -5.462202e+00     -5.462446e+00      1.356207e-04
                13     -5.463474e+00     -5.462525e+00      1.464478e-04
                14     -5.462914e+00     -5.462553e+00      1.385995e-04
                15     -5.462016e+00     -5.462517e+00      1.338945e-04
                16     -5.462969e+00     -5.462545e+00      1.284682e-04
                17     -5.462554e+00     -5.462546e+00      1.209123e-04
                18     -5.462648e+00     -5.462552e+00      1.143272e-04
                19     -5.462671e+00     -5.462558e+00      1.084814e-04
                20     -5.463723e+00     -5.462616e+00      1.176668e-04
