#     BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
           1     1.19819     1.19819           0
           2     1.20245     1.20032  0.00150658
           3     1.20446      1.2017  0.00150908
           4     1.20281     1.20198  0.00115667
           5      1.1927     1.20012  0.00190087
           6     1.20029     1.20015  0.00158426
           7     1.20261      1.2005  0.00139637
           8      1.1939     1.19968  0.00144509
           9     1.19896      1.1996  0.00128669
          10     1.20524     1.20016  0.00127569
          11     1.19728      1.1999  0.00118625
          12      1.1975      1.1997  0.00110415
          13     1.20416     1.20004  0.00107126
          14     1.20653     1.20051  0.00109041
          15       1.201     1.20054  0.00101821
          16     1.20188     1.20062 0.000958003
          17     1.19432     1.20025 0.000970781
          18     1.19948     1.20021 0.000917787
          19     1.19844     1.20012 0.000874192
          20     1.20302     1.20026 0.000842462
