#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
           1    -6.66112    -6.66112           0
           2     -6.6651    -6.66311  0.00140587
           3    -6.66761    -6.66461  0.00154207
           4    -6.66574    -6.66489  0.00118209
           5    -6.65515    -6.66294  0.00198285
           6    -6.66217    -6.66282   0.0016566
           7    -6.66543    -6.66319  0.00146147
           8    -6.65569    -6.66225   0.0015507
           9    -6.66149    -6.66217  0.00138069
          10    -6.66686    -6.66264  0.00132006
          11    -6.65969    -6.66237  0.00122693
          12     -6.6597    -6.66215  0.00114466
          13    -6.66764    -6.66257  0.00113187
          14    -6.66945    -6.66306  0.00115272
          15    -6.66302    -6.66306  0.00107587
          16    -6.66485    -6.66317  0.00101443
          17    -6.65687     -6.6628  0.00102013
          18    -6.66213    -6.66276 0.000964125
          19    -6.66111    -6.66267 0.000917284
          20    -6.66674    -6.66288  0.00089371
