#     BLOCK:   ACTUAL_P:     P_AVE:       ERROR:
           1     1.06328     1.06328           0
           2     1.16156     1.11242   0.0347445
           3    0.661091    0.961977    0.125001
           4      1.0329    0.979709   0.0950001
           5     1.15923     1.01561   0.0825064
           6     1.01556      1.0156   0.0687553
           7    0.929301     1.00328   0.0600284
           8    0.968467    0.998924   0.0526823
           9    0.953119    0.993835   0.0470739
          10    0.989487      0.9934   0.0423685
          11    0.953767    0.989797   0.0386697
          12     1.09543      0.9986   0.0364355
          13     1.03384     1.00131   0.0337334
          14    0.980298     0.99981   0.0313573
          15    0.904401    0.993449   0.0299049
          16     1.00157    0.993957   0.0280402
          17      1.0064    0.994689   0.0264003
          18     1.04488    0.997477   0.0250804
          19    0.990343    0.997102   0.0237632
          20     1.00204    0.997349   0.0225763
          21     0.95455    0.995311   0.0215931
          22    0.996782    0.995377   0.0206117
          23     1.02165     0.99652   0.0197471
          24    0.978498    0.995769   0.0189386
          25     1.00243    0.996035   0.0181829
          26    0.946352    0.994124   0.0175837
          27    0.981571    0.993659   0.0169386
          28    0.991659    0.993588   0.0163338
          29     1.02755    0.994759   0.0158125
          30    0.975976    0.994133   0.0152978
          31     1.05793    0.996191   0.0149421
          32    0.986049    0.995874   0.0144785
          33    0.981288    0.995432   0.0140465
          34     1.01992    0.996152   0.0136519
          35      1.0111    0.996579   0.0132685
          36    0.918493     0.99441    0.013076
          37     1.00788    0.994774   0.0127277
          38    0.995667    0.994798   0.0123928
          39     1.08838    0.997197   0.0123051
          40    0.959361    0.996251   0.0120338
          41    0.988439    0.996061   0.0117418
          42    0.962205    0.995255   0.0114898
          43     1.04176    0.996336   0.0112734
          44    0.993287    0.996267   0.0110174
          45    0.994261    0.996222   0.0107727
          46     1.00554    0.996425   0.0105404
          47      0.9339    0.995094   0.0103997
          48    0.965886    0.994486   0.0102009
          49     1.02809    0.995172   0.0100157
          50     1.01386    0.995546  0.00982236
          51    0.991872    0.995474  0.00963003
          52    0.934221    0.994296   0.0095166
          53    0.965911     0.99376   0.0093521
          54     1.07832    0.995326  0.00930909
          55    0.971499    0.994893  0.00914991
          56    0.982893    0.994678  0.00898903
          57     1.01511    0.995037  0.00883846
          58     1.00011    0.995124  0.00868651
          59    0.975852    0.994798  0.00854542
          60    0.936367    0.993824   0.0084583
          61    0.977975    0.993564  0.00832363
          62     1.08824    0.995091  0.00832828
          63    0.948321    0.994349   0.0082291
          64     1.00434    0.994505    0.008102
          65    0.937092    0.993621  0.00802536
          66     1.06036    0.994633  0.00796722
          67    0.969826    0.994262   0.0078569
          68    0.992702    0.994239  0.00774139
          69    0.938878    0.993437  0.00767066
          70     1.08913    0.994804  0.00768194
          71    0.996633     0.99483  0.00757379
          72    0.968795    0.994468  0.00747722
          73    0.959586    0.993991  0.00739005
          74    0.983649    0.993851   0.0072915
          75     1.05972    0.994729  0.00724698
          76    0.962537    0.994306    0.007164
          77    0.991782    0.994273  0.00707103
          78     0.94424    0.993631  0.00700941
          79    0.930297     0.99283  0.00696638
          80     1.00762    0.993014  0.00688175
          81     1.04383    0.993642  0.00682532
          82     1.00183    0.993742  0.00674282
          83     1.03238    0.994207  0.00667763
          84    0.976303    0.993994  0.00660154
          85    0.929984    0.993241  0.00656668
          86      1.0065    0.993395  0.00649214
          87    0.988317    0.993337  0.00641778
          88     1.02692    0.993718  0.00635618
          89    0.977784    0.993539  0.00628729
          90    0.999677    0.993608   0.0062178
          91     1.00597    0.993743  0.00615095
          92     1.00778    0.993896  0.00608599
          93    0.961186    0.993544   0.0060307
          94    0.983197    0.993434  0.00596755
          95    0.933713    0.992805  0.00593775
          96    0.993226     0.99281   0.0058759
          97     1.05099     0.99341  0.00584586
          98      1.0091     0.99357   0.0057884
          99    0.945836    0.993088  0.00574998
         100     1.03116    0.993468  0.00570507
