#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
                 1      7.987957e-01      7.987957e-01      0.000000e+00
                 2      8.016365e-01      8.002161e-01      1.004385e-03
                 3      8.029749e-01      8.011357e-01      1.006055e-03
                 4      8.018702e-01      8.013193e-01      7.711144e-04
                 5      7.951312e-01      8.000817e-01      1.267244e-03
                 6      8.001926e-01      8.001002e-01      1.056172e-03
                 7      8.017403e-01      8.003345e-01      9.309160e-04
                 8      7.959350e-01      7.997846e-01      9.633912e-04
                 9      7.993094e-01      7.997318e-01      8.577928e-04
                10      8.034924e-01      8.001078e-01      8.504629e-04
                11      7.981890e-01      7.999334e-01      7.908356e-04
                12      7.983323e-01      7.998000e-01      7.361021e-04
                13      8.027754e-01      8.000288e-01      7.141755e-04
                14      8.043547e-01      8.003378e-01      7.269387e-04
                15      8.006672e-01      8.003598e-01      6.788077e-04
                16      8.012520e-01      8.004155e-01      6.386685e-04
                17      7.962125e-01      8.001683e-01      6.471874e-04
                18      7.996561e-01      8.001399e-01      6.118579e-04
                19      7.989606e-01      8.000778e-01      5.827944e-04
                20      8.020144e-01      8.001746e-01      5.616411e-04
