#     BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
           1     1.45508     1.45508           0
           2     1.45559     1.45534 0.000179385
           3     1.45667     1.45578 0.000381059
           4     1.45845     1.45645 0.000644242
           5     1.46121      1.4574 0.000995891
           6      1.4656     1.45877  0.00149917
           7     1.47323     1.46083  0.00230497
           8     1.48625     1.46401  0.00359211
           9     1.46499     1.46412  0.00319465
          10      1.4733     1.46504  0.00300431
          11     1.52205     1.47022  0.00564643
          12     1.49821     1.47255    0.005637
          13     1.51488     1.47581  0.00607111
          14     1.57413     1.48283  0.00880803
          15     1.57196     1.48877   0.0100266
          16     1.60302     1.49591   0.0116686
          17     1.63597     1.50415   0.0135827
          18     1.66853     1.51329   0.0155987
          19     1.66261     1.52114   0.0166402
          20     1.65708     1.52794   0.0171402
          21     1.68306     1.53533   0.0178448
          22      1.7199     1.54372   0.0189032
          23     1.70782     1.55085    0.019381
          24     1.69279     1.55677   0.0194549
          25     1.71948     1.56327   0.0197354
          26     1.68232     1.56785   0.0195002
          27     1.70513     1.57294   0.0194295
          28     1.73214     1.57862   0.0195498
          29     1.74033      1.5842   0.0196548
          30     1.72665     1.58895   0.0195648
          31      1.6612     1.59128    0.019072
          32     1.74045     1.59594   0.0190372
          33     1.75048     1.60062   0.0190276
          34     1.74212     1.60478   0.0189176
          35     1.75448     1.60906   0.0188544
          36      1.7611     1.61329   0.0187977
          37     1.77706     1.61771   0.0188036
          38     1.76514     1.62159   0.0187047
          39     1.75406     1.62499   0.0185309
          40     1.78905     1.62909    0.018516
          41     1.79251     1.63308   0.0184884
          42     1.80788     1.63724   0.0185108
          43     1.79086     1.64081   0.0184218
          44     1.78647     1.64412   0.0182982
          45     1.80579     1.64771   0.0182409
          46     1.76021     1.65016   0.0180075
          47     1.75757     1.65244   0.0177688
          48     1.76382     1.65476   0.0175494
          49     1.77722     1.65726   0.0173683
          50     1.76172     1.65935   0.0171461
          51     1.75463     1.66122   0.0169114
          52     1.74528     1.66284   0.0166633
          53     1.73935     1.66428   0.0164113
          54     1.72021     1.66532     0.01614
          55     1.74954     1.66685    0.015919
          56     1.76534     1.66861   0.0157316
          57     1.77252     1.67043   0.0155609
          58     1.76106     1.67199   0.0153709
          59     1.79526     1.67408   0.0152517
          60     1.73572     1.67511   0.0150321
          61     1.78596     1.67693   0.0148951
          62      1.8073     1.67903   0.0148025
          63     1.77599     1.68057   0.0146474
          64     1.81039      1.6826   0.0145583
          65     1.83552     1.68495   0.0145232
          66     1.83874     1.68728   0.0144888
          67     1.79613      1.6889   0.0143634
          68     1.80975     1.69068   0.0142617
          69     1.80497     1.69234   0.0141508
          70     1.83994     1.69445   0.0141049
          71     1.83495     1.69643   0.0140444
          72     1.82249     1.69818   0.0139581
          73      1.8344     1.70004    0.013891
          74     1.83268     1.70183   0.0138185
          75       1.839     1.70366   0.0137547
          76     1.82947     1.70532    0.013673
          77     1.82741      1.7069    0.013587
          78      1.8195     1.70835   0.0134893
          79     1.85402     1.71019    0.013444
          80     1.83766     1.71178     0.01337
          81      1.8443     1.71342   0.0133047
          82     1.86392     1.71526   0.0132684
          83     1.84554     1.71683   0.0132011
          84     1.85049     1.71842   0.0131395
          85      1.8578     1.72006   0.0130868
          86     1.82108     1.72123   0.0129872
          87     1.84111     1.72261   0.0129109
          88     1.83537     1.72389   0.0128276
          89     1.80824     1.72484   0.0127184
          90     1.83209     1.72603   0.0126328
          91     1.82011     1.72706   0.0125362
          92     1.78003     1.72764   0.0124132
          93     1.78698     1.72828   0.0122961
          94     1.78673      1.7289    0.012181
          95     1.78128     1.72945   0.0120652
          96     1.78695     1.73005   0.0119544
          97     1.78731     1.73064   0.0118457
          98     1.78238     1.73117   0.0117366
          99     1.79314     1.73179   0.0116347
         100     1.81157     1.73259   0.0115457
