#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
           1  -0.0319223  -0.0319223           0
           2  -0.0324605  -0.0321914 0.000190279
           3  -0.0336983  -0.0326937 0.000429283
           4  -0.0356697  -0.0334377 0.000720287
           5  -0.0385859  -0.0344673  0.00108636
           6  -0.0431281  -0.0359108  0.00159871
           7  -0.0508825  -0.0380496  0.00240807
           8  -0.0639673  -0.0412893  0.00369099
           9  -0.0421672  -0.0413869  0.00328217
          10  -0.0513647  -0.0423846  0.00310191
          11   -0.100047  -0.0476267  0.00573869
          12  -0.0752886  -0.0499318  0.00570469
          13  -0.0933876  -0.0532746  0.00616797
          14   -0.151956  -0.0603232  0.00888469
          15   -0.149765   -0.066286   0.0100969
          16   -0.181104  -0.0734622   0.0117423
          17   -0.214063  -0.0817328   0.0136571
          18   -0.246391  -0.0908805   0.0156652
          19    -0.24024  -0.0987415    0.016697
          20   -0.234808   -0.105545   0.0171925
          21   -0.261328   -0.112963   0.0179028
          22   -0.297804   -0.121365   0.0189583
          23   -0.285238    -0.12849   0.0194268
          24   -0.270884   -0.134423   0.0195023
          25   -0.297101    -0.14093    0.019778
          26   -0.259743     -0.1455   0.0195381
          27    -0.28335   -0.150605   0.0194702
          28   -0.309989   -0.156298   0.0195892
          29    -0.31811   -0.161877   0.0196924
          30   -0.303865    -0.16661   0.0195965
          31   -0.238888   -0.168942   0.0191025
          32   -0.318897   -0.173628   0.0190717
          33   -0.327899   -0.178303   0.0190581
          34   -0.320115   -0.182474   0.0189485
          35   -0.332041   -0.186747   0.0188828
          36   -0.339103   -0.190979   0.0188266
          37   -0.354705   -0.195404   0.0188306
          38    -0.34272   -0.199281   0.0187299
          39   -0.331769   -0.202678   0.0185551
          40    -0.36722   -0.206792   0.0185416
          41   -0.370153   -0.210776   0.0185126
          42   -0.385637   -0.214939    0.018534
          43   -0.368225   -0.218504   0.0184426
          44   -0.364584   -0.221824   0.0183199
          45   -0.383323   -0.225413   0.0182609
          46   -0.337462   -0.227849   0.0180257
          47   -0.335566   -0.230141   0.0177872
          48   -0.341575   -0.232462   0.0175675
          49   -0.355129   -0.234966   0.0173865
          50   -0.339411   -0.237055   0.0171638
          51   -0.332181    -0.23892   0.0169283
          52   -0.323316   -0.240543   0.0166803
          53   -0.316695    -0.24198   0.0164274
          54   -0.298464   -0.243026   0.0161564
          55    -0.32726   -0.244557   0.0159351
          56   -0.343602   -0.246326   0.0157484
          57   -0.350121   -0.248147    0.015577
          58   -0.339159   -0.249716   0.0153873
          59   -0.373273    -0.25181   0.0152683
          60   -0.312845   -0.252828   0.0150477
          61   -0.364744   -0.254662   0.0149125
          62   -0.385023   -0.256765   0.0148194
          63   -0.353717   -0.258304   0.0146639
          64   -0.388701   -0.260341   0.0145756
          65   -0.413551   -0.262698   0.0145407
          66   -0.416424   -0.265027   0.0145057
          67   -0.373843   -0.266652   0.0143799
          68   -0.387496   -0.268429   0.0142778
          69   -0.383055    -0.27009   0.0141672
          70    -0.41795   -0.272202   0.0141214
          71   -0.412654    -0.27418   0.0140604
          72   -0.400371   -0.275933   0.0139739
          73   -0.412176   -0.277799   0.0139065
          74   -0.410586   -0.279594   0.0138339
          75   -0.416846   -0.281424     0.01377
          76   -0.407168   -0.283078   0.0136878
          77   -0.405197   -0.284664   0.0136016
          78   -0.397388    -0.28611   0.0135038
          79   -0.432211   -0.287959   0.0134589
          80   -0.414867   -0.289545   0.0133838
          81   -0.422743    -0.29119   0.0133192
          82   -0.441507   -0.293023   0.0132824
          83   -0.423328   -0.294593   0.0132148
          84   -0.428442   -0.296186   0.0131532
          85   -0.435513   -0.297825   0.0131002
          86   -0.398548   -0.298997   0.0130001
          87   -0.419454   -0.300381   0.0129242
          88   -0.412548   -0.301656     0.01284
          89   -0.386403   -0.302608    0.012731
          90   -0.409943   -0.303801   0.0126453
          91   -0.397623   -0.304832   0.0125483
          92   -0.357602   -0.305405    0.012425
          93    -0.36503   -0.306046   0.0123079
          94   -0.364448   -0.306668   0.0121927
          95    -0.35922   -0.307221   0.0120769
          96   -0.364773    -0.30782   0.0119659
          97   -0.365204   -0.308412   0.0118572
          98   -0.360064   -0.308939   0.0117479
          99    -0.37122   -0.309568   0.0116461
         100   -0.389273   -0.310365   0.0115569
