#     BLOCK:   ACTUAL_P:     P_AVE:       ERROR:
           1   0.0484732   0.0484732           0
           2   0.0484896   0.0484814 5.80427e-06
           3   0.0485244   0.0484957 1.23067e-05
           4   0.0485819   0.0485173 2.08121e-05
           5   0.0486714   0.0485481 3.21995e-05
           6   0.0488138   0.0485924 4.85155e-05
           7   0.0490616   0.0486594 7.46993e-05
           8   0.0494903   0.0487633 0.000117091
           9   0.0488774   0.0487759 0.000104765
          10   0.0491683   0.0488152 0.000101369
          11   0.0506999   0.0489865 0.000187565
          12   0.0500028   0.0490712 0.000190095
          13   0.0505384   0.0491841 0.000206272
          14    0.052384   0.0494126 0.000291886
          15   0.0523571   0.0496089 0.000331935
          16   0.0533761   0.0498444 0.000385757
          17    0.054461   0.0501159 0.000448584
          18   0.0555545   0.0504181  0.00051547
          19   0.0554621   0.0506836 0.000552487
          20   0.0553428   0.0509165 0.000571874
          21   0.0561361   0.0511651 0.000596215
          22   0.0572386   0.0514411 0.000629795
          23   0.0568414   0.0516759 0.000644696
          24   0.0563572    0.051871 0.000646667
          25   0.0571758   0.0520832 0.000654688
          26   0.0560367   0.0522352 0.000646925
          27   0.0567449   0.0524023 0.000644165
          28   0.0575862   0.0525874 0.000647218
          29   0.0578812   0.0527699 0.000650134
          30   0.0575348   0.0529288 0.000647573
          31   0.0555524   0.0530134  0.00063219
          32   0.0579771   0.0531685 0.000631176
          33   0.0582508   0.0533225 0.000630559
          34   0.0579821   0.0534596  0.00062673
          35   0.0583746      0.0536 0.000624358
          36   0.0586021    0.053739 0.000622283
          37   0.0591356   0.0538848 0.000622324
          38   0.0588136   0.0540145 0.000619316
          39   0.0584934   0.0541294 0.000613991
          40   0.0595639   0.0542652 0.000613489
          41   0.0596527   0.0543966 0.000612437
          42   0.0601272   0.0545331 0.000612865
          43   0.0596169   0.0546513  0.00060991
          44   0.0594843   0.0547611 0.000605858
          45   0.0600867   0.0548795 0.000603842
          46   0.0586831   0.0549622  0.00059635
          47   0.0585737    0.055039 0.000588592
          48   0.0587107   0.0551155 0.000581278
          49   0.0590764   0.0551963 0.000575009
          50   0.0585875   0.0552642 0.000567494
          51   0.0584064   0.0553258 0.000559702
          52   0.0581719   0.0553805 0.000551608
          53   0.0580428   0.0554307 0.000543483
          54   0.0574558   0.0554682  0.00053471
          55   0.0583252   0.0555202 0.000527506
          56   0.0587701   0.0555782 0.000521268
          57   0.0589757   0.0556378  0.00051552
          58   0.0586287   0.0556894 0.000509204
          59   0.0597189   0.0557577 0.000505133
          60   0.0579282   0.0557939 0.000498008
          61   0.0594974   0.0558546 0.000493531
          62   0.0601543   0.0559239 0.000490419
          63   0.0591899   0.0559758 0.000485367
          64    0.060231   0.0560423 0.000482315
          65    0.060985   0.0561183 0.000480852
          66   0.0611082   0.0561939 0.000479473
          67   0.0598418   0.0562483 0.000475398
          68   0.0603031    0.056308 0.000472132
          69   0.0601581   0.0563638 0.000468575
          70    0.061222   0.0564332 0.000466993
          71   0.0610596   0.0564983 0.000464939
          72   0.0606669   0.0565562 0.000462072
          73   0.0610134   0.0566173 0.000459759
          74    0.060936   0.0566757 0.000457235
          75   0.0611198   0.0567349 0.000454962
          76    0.060833   0.0567888  0.00045216
          77   0.0607905   0.0568408 0.000449264
          78   0.0605692   0.0568886  0.00044604
          79    0.061669   0.0569491  0.00044448
          80   0.0612057   0.0570023 0.000442097
          81   0.0614214   0.0570569 0.000439992
          82   0.0620173   0.0571174 0.000438765
          83   0.0614425   0.0571695 0.000436562
          84   0.0615829    0.057222 0.000434515
          85   0.0618056   0.0572759 0.000432737
          86   0.0606755   0.0573155 0.000429506
          87   0.0612912   0.0573612 0.000426994
          88    0.061113   0.0574038 0.000424265
          89   0.0602597   0.0574359 0.000420709
          90   0.0609627   0.0574751 0.000417856
          91   0.0605557   0.0575089 0.000414633
          92   0.0592807   0.0575282 0.000410573
          93   0.0594515   0.0575489 0.000406679
          94   0.0594087   0.0575687 0.000402833
          95   0.0592249   0.0575861  0.00039897
          96   0.0594013    0.057605 0.000395262
          97   0.0594252   0.0576238 0.000391632
          98   0.0592953   0.0576408 0.000388007
          99   0.0596507   0.0576611 0.000384619
         100   0.0602485    0.057687 0.000381642
