#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
           1    0.970055    0.970055           0
           2    0.970393    0.970224  0.00011959
           3     0.97111     0.97052 0.000254039
           4    0.972297    0.970964 0.000429495
           5     0.97414    0.971599 0.000663927
           6     0.97707    0.972511 0.000999445
           7    0.982156    0.973889  0.00153665
           8    0.990837    0.976007  0.00239474
           9    0.976663     0.97608  0.00212976
          10    0.982203    0.976693  0.00200287
          11      1.0147    0.980148  0.00376429
          12    0.998805    0.981703    0.003758
          13     1.00992    0.983873  0.00404741
          14     1.04942    0.988555  0.00587202
          15     1.04797    0.992516  0.00668437
          16     1.06868    0.997277   0.0077791
          17     1.09065     1.00277  0.00905514
          18     1.11235     1.00886   0.0103991
          19     1.10841      1.0141   0.0110935
          20     1.10472     1.01863   0.0114268
          21     1.12204     1.02355   0.0118965
          22      1.1466     1.02914   0.0126021
          23     1.13854      1.0339   0.0129207
          24     1.12853     1.03784   0.0129699
          25     1.14632     1.04218   0.0131569
          26     1.12155     1.04524   0.0130001
          27     1.13675     1.04862    0.012953
          28     1.15476     1.05242   0.0130332
          29     1.16022     1.05613   0.0131032
          30      1.1511      1.0593   0.0130432
          31     1.10746     1.06085   0.0127147
          32      1.1603     1.06396   0.0126914
          33     1.16699     1.06708   0.0126851
          34     1.16142     1.06986   0.0126118
          35     1.16965     1.07271   0.0125696
          36     1.17407     1.07552   0.0125318
          37     1.18471     1.07847   0.0125357
          38     1.17676     1.08106   0.0124698
          39     1.16937     1.08333    0.012354
          40      1.1927     1.08606    0.012344
          41     1.19501     1.08872   0.0123256
          42     1.20526     1.09149   0.0123405
          43      1.1939     1.09387   0.0122812
          44     1.19098     1.09608   0.0121988
          45     1.20386     1.09848   0.0121606
          46     1.17347     1.10011    0.012005
          47     1.17171     1.10163   0.0118459
          48     1.17588     1.10318   0.0116996
          49     1.18481     1.10484   0.0115789
          50     1.17448     1.10623   0.0114308
          51     1.16975     1.10748   0.0112743
          52     1.16352     1.10856   0.0111089
          53     1.15956     1.10952   0.0109409
          54     1.14681     1.11021     0.01076
          55     1.16636     1.11123   0.0106127
          56     1.17689      1.1124   0.0104877
          57     1.18168     1.11362   0.0103739
          58     1.17404     1.11466   0.0102473
          59     1.19684     1.11605   0.0101678
          60     1.15715     1.11674   0.0100214
          61     1.19064     1.11795  0.00993005
          62     1.20486     1.11935  0.00986834
          63       1.184     1.12038   0.0097649
          64     1.20693     1.12173  0.00970551
          65     1.22368      1.1233   0.0096821
          66     1.22583     1.12485  0.00965922
          67     1.19742     1.12594  0.00957559
          68      1.2065     1.12712  0.00950779
          69     1.20331     1.12823   0.0094339
          70     1.22663     1.12963  0.00940329
          71      1.2233     1.13095  0.00936294
          72       1.215     1.13212  0.00930538
          73     1.22293     1.13336  0.00926069
          74     1.22178     1.13456  0.00921232
          75       1.226     1.13578  0.00916981
          76     1.21964     1.13688  0.00911531
          77     1.21827     1.13794  0.00905801
          78       1.213      1.1389  0.00899286
          79     1.23601     1.14013  0.00896265
          80     1.22511     1.14119  0.00891334
          81     1.22953     1.14228  0.00886978
          82     1.24261      1.1435  0.00884561
          83     1.23036     1.14455  0.00880072
          84     1.23366     1.14561  0.00875964
          85     1.23853      1.1467  0.00872454
          86     1.21405     1.14749  0.00865816
          87      1.2274     1.14841  0.00860723
          88     1.22358     1.14926  0.00855171
          89      1.2055     1.14989  0.00847894
          90      1.2214     1.15069  0.00842186
          91     1.21341     1.15138  0.00835747
          92     1.18669     1.15176  0.00827544
          93     1.19132     1.15219  0.00819738
          94     1.19115      1.1526  0.00812065
          95     1.18752     1.15297  0.00804348
          96      1.1913     1.15337  0.00796961
          97     1.19154     1.15376  0.00789715
          98     1.18825     1.15411  0.00782441
          99     1.19543     1.15453   0.0077565
         100     1.20771     1.15506  0.00769714
