#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1     1.42316     1.42316           0
           2     1.42313     1.42314 1.08933e-05
           3     1.42297     1.42309 4.88482e-05
           4     1.42278     1.42301  7.6312e-05
           5     1.42262     1.42293  9.1971e-05
           6     1.42248     1.42286 0.000103256
           7     1.42235     1.42278 0.000110767
           8     1.42229     1.42272 0.000112951
           9     1.42283     1.42273 0.000101007
          10     1.42194     1.42265  0.00011801
          11     1.42201      1.4226 0.000121075
          12     1.42292     1.42262  0.00011396
          13     1.42149     1.42254 0.000134492
          14     1.42218     1.42251 0.000127295
          15     1.42219     1.42249 0.000120548
          16     1.42192     1.42245 0.000118186
          17     1.42191     1.42242 0.000115521
          18     1.42213      1.4224 0.000110189
          19     1.42237      1.4224 0.000104403
          20     1.42227      1.4224 9.93796e-05
          21     1.42173     1.42236 9.95767e-05
          22     1.42209     1.42235 9.58236e-05
          23     1.42258     1.42236 9.21562e-05
          24     1.42191     1.42234 9.02533e-05
          25     1.42237     1.42234  8.6652e-05
          26     1.42258     1.42235 8.37729e-05
          27     1.42178     1.42233  8.3329e-05
          28     1.42215     1.42233 8.06127e-05
          29     1.42222     1.42232 7.79171e-05
          30     1.42279     1.42234 7.68472e-05
          31     1.42231     1.42234 7.43739e-05
          32     1.42155     1.42231 7.59646e-05
          33     1.42259     1.42232 7.41124e-05
          34     1.42201     1.42231 7.24948e-05
          35     1.42244     1.42231 7.05176e-05
          36       1.422     1.42231 6.91108e-05
          37     1.42235     1.42231 6.72545e-05
          38     1.42242     1.42231 6.55487e-05
          39     1.42229     1.42231 6.38706e-05
          40     1.42183      1.4223 6.33781e-05
          41     1.42236      1.4223 6.18482e-05
          42     1.42225      1.4223 6.03878e-05
          43     1.42263     1.42231 5.94801e-05
          44     1.42189      1.4223 5.88843e-05
          45     1.42247      1.4223 5.77021e-05
          46     1.42274     1.42231 5.72462e-05
          47       1.422      1.4223 5.64057e-05
          48     1.42224      1.4223 5.52438e-05
          49     1.42209      1.4223 5.42897e-05
          50     1.42231      1.4223 5.32047e-05
          51     1.42245      1.4223 5.22459e-05
          52     1.42197     1.42229 5.16369e-05
          53     1.42265      1.4223 5.11005e-05
          54     1.42175     1.42229 5.11802e-05
          55     1.42228     1.42229 5.02503e-05
          56     1.42174     1.42228 5.03214e-05
          57      1.4224     1.42228 4.94844e-05
          58      1.4219     1.42228 4.90579e-05
          59     1.42199     1.42227 4.84635e-05
          60     1.42288     1.42228 4.86944e-05
          61     1.42122     1.42226 5.09229e-05
          62     1.42227     1.42226 5.01017e-05
          63     1.42228     1.42226 4.93069e-05
          64     1.42169     1.42226 4.93536e-05
          65     1.42197     1.42225 4.87861e-05
          66     1.42232     1.42225 4.80569e-05
          67     1.42229     1.42225 4.73427e-05
          68     1.42226     1.42225 4.66465e-05
          69     1.42192     1.42225  4.6224e-05
          70     1.42199     1.42224 4.57054e-05
          71      1.4223     1.42224 4.50681e-05
          72     1.42212     1.42224 4.44732e-05
          73     1.42222     1.42224 4.38649e-05
          74     1.42209     1.42224 4.33209e-05
          75     1.42215     1.42224 4.27605e-05
          76      1.4223     1.42224 4.22049e-05
          77     1.42221     1.42224 4.16585e-05
          78     1.42211     1.42224 4.11585e-05
          79     1.42181     1.42223 4.09989e-05
          80     1.42279     1.42224 4.10843e-05
          81     1.42156     1.42223 4.14331e-05
          82     1.42242     1.42223 4.09883e-05
          83     1.42221     1.42223 4.04952e-05
          84     1.42204     1.42223 4.00762e-05
          85     1.42229     1.42223 3.96105e-05
          86     1.42253     1.42224 3.93011e-05
          87     1.42165     1.42223 3.94168e-05
          88     1.42282     1.42224  3.9546e-05
          89     1.42184     1.42223 3.93504e-05
          90     1.42215     1.42223 3.89235e-05
          91     1.42249     1.42223 3.85985e-05
          92     1.42243     1.42223 3.82357e-05
          93     1.42195     1.42223 3.79462e-05
          94     1.42228     1.42223 3.75464e-05
          95     1.42206     1.42223  3.7193e-05
          96     1.42218     1.42223 3.68091e-05
          97      1.4221     1.42223 3.64526e-05
          98     1.42232     1.42223 3.60914e-05
          99     1.42192     1.42223 3.58602e-05
         100     1.42229     1.42223  3.5508e-05
