#     BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
           1     2.80705     2.80705           0
           2     1.82537     2.31621    0.347078
           3     1.49688      2.0431    0.321348
           4      1.6792     1.95213    0.253562
           5     1.69891     1.90148    0.207846
           6     1.70292     1.86839     0.17582
           7     1.60785     1.83117    0.154592
           8      1.7187     1.81711    0.135906
           9     1.69134     1.80314    0.121521
          10     1.68616     1.79144    0.109931
          11     1.70154     1.78327     0.10024
          12     1.53222     1.76235   0.0940447
          13     1.72793      1.7597   0.0868478
          14     1.74871     1.75891   0.0806479
          15      1.6599     1.75231    0.075541
          16     1.68513     1.74811   0.0709363
          17     1.63518     1.74147   0.0670739
          18     1.58589     1.73283   0.0639021
          19     1.73713     1.73305   0.0605392
          20     1.63971     1.72839   0.0576919
          21     1.61465     1.72297   0.0551983
          22     1.62066     1.71832   0.0528848
          23     1.71373     1.71812   0.0505859
          24     1.66229     1.71579   0.0485316
          25     1.70356     1.71531   0.0465928
          26     1.57585     1.70994   0.0451084
          27     1.61879     1.70657   0.0435639
          28     1.64106     1.70423   0.0420708
          29     1.65343     1.70247   0.0406565
          30     1.74591     1.70392   0.0393271
          31     1.69223     1.70354   0.0380603
          32     1.66331     1.70229   0.0368917
          33     1.68656     1.70181   0.0357768
          34       1.606     1.69899   0.0348353
          35     1.65085     1.69762   0.0338672
          36     1.76358     1.69945    0.032976
          37     1.68138     1.69896   0.0320883
          38     1.64535     1.69755   0.0312749
          39     1.60295     1.69513   0.0305669
          40     1.64627      1.6939   0.0298271
          41     1.70992     1.69429   0.0291022
          42     1.68058     1.69397   0.0284111
          43     1.73321     1.69488    0.027765
          44     1.62096      1.6932   0.0271848
          45     1.61166     1.69139    0.026641
          46     1.61662     1.68976   0.0261114
          47     1.45873     1.68485   0.0260144
          48     1.65886     1.68431   0.0254781
          49     1.63278     1.68325   0.0249798
          50     1.65841     1.68276   0.0244852
          51     1.65183     1.68215   0.0240126
          52     1.69453     1.68239    0.023552
          53     1.59456     1.68073   0.0231658
          54     1.57625      1.6788   0.0228175
          55     1.52569     1.67601   0.0225718
          56     1.55048     1.67377   0.0222797
          57     1.72232     1.67462   0.0219052
          58     1.59266     1.67321    0.021573
          59     1.74064     1.67435   0.0212376
          60     1.60678     1.67323   0.0209135
          61     1.61568     1.67228   0.0205919
          62     1.57135     1.67066   0.0203241
          63     1.62318      1.6699   0.0200154
          64     1.64365     1.66949   0.0197069
          65     1.46585     1.66636   0.0196512
          66     1.58618     1.66514   0.0193909
          67      1.5762     1.66382   0.0191469
          68     1.66049     1.66377   0.0188654
          69     1.66147     1.66373    0.018592
          70     1.59508     1.66275   0.0183523
          71     1.65149     1.66259   0.0180945
          72     1.65577      1.6625   0.0178434
          73     1.70101     1.66303   0.0176068
          74     1.62258     1.66248   0.0173773
          75     1.62628       1.662   0.0171523
          76     1.66817     1.66208   0.0169268
          77       1.614     1.66146   0.0167185
          78     1.63226     1.66108   0.0165084
          79     1.49426     1.65897   0.0164339
          80     1.60115     1.65825   0.0162444
          81     1.66859     1.65837   0.0160443
          82     1.78197     1.65988   0.0159193
          83     1.63432     1.65957   0.0157305
          84     1.55671     1.65835   0.0155908
          85     1.58009     1.65743   0.0154345
          86     1.63567     1.65718   0.0152571
          87     1.65328     1.65713   0.0150818
          88      1.7339       1.658   0.0149357
          89     1.66324     1.65806    0.014768
          90     1.53145     1.65665   0.0146707
          91     1.61933     1.65624   0.0145152
          92     1.69536     1.65667   0.0143637
          93      1.6816     1.65694   0.0142117
          94      1.6445     1.65681   0.0140612
          95      1.5961     1.65617   0.0139277
          96     1.66926      1.6563   0.0137833
          97     1.66998     1.65644   0.0136419
          98     1.56517     1.65551   0.0135344
          99     1.62082     1.65516   0.0134023
         100     1.58627     1.65447   0.0132859
