#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
           1      -6.204      -6.204           0
           2    -5.20955    -5.70678    0.351592
           3    -4.89394    -5.43583    0.322307
           4    -5.07615    -5.34591    0.253964
           5    -5.09391    -5.29551    0.208112
           6    -5.09607    -5.26227    0.176062
           7    -5.00101    -5.22495    0.154815
           8    -5.11211    -5.21084    0.136104
           9    -5.08459    -5.19681    0.121702
          10    -5.07983    -5.18512    0.110093
          11     -5.0957    -5.17699    0.100384
          12    -4.92888    -5.15631    0.094124
          13    -5.12625      -5.154   0.0869121
          14     -5.1453    -5.15338   0.0807064
          15    -5.05438    -5.14678   0.0755953
          16    -5.07986     -5.1426   0.0709862
          17    -5.02878     -5.1359   0.0671255
          18    -4.98302    -5.12741   0.0639314
          19    -5.13466    -5.12779   0.0605677
          20    -5.03666    -5.12323   0.0577104
          21    -5.00992    -5.11784    0.055214
          22    -5.01779    -5.11329   0.0528912
          23    -5.10547    -5.11295   0.0505927
          24    -5.05169     -5.1104    0.048549
          25     -5.0888    -5.10953   0.0466147
          26    -4.96449    -5.10395   0.0451545
          27    -5.01087    -5.10051   0.0436135
          28    -5.03729    -5.09825   0.0421142
          29    -5.04664    -5.09647   0.0406996
          30    -5.14024    -5.09793   0.0393691
          31    -5.08564    -5.09753   0.0381011
          32    -5.05465    -5.09619    0.036934
          33    -5.07691    -5.09561   0.0358194
          34    -4.99709    -5.09271   0.0348829
          35    -5.04648    -5.09139   0.0339113
          36    -5.15785    -5.09324   0.0330195
          37    -5.07463    -5.09273   0.0321309
          38    -5.03713    -5.09127   0.0313187
          39    -4.99706    -5.08885   0.0306086
          40    -5.04109    -5.08766   0.0298667
          41    -5.10331    -5.08804   0.0291407
          42    -5.07403    -5.08771   0.0284488
          43    -5.12642    -5.08861   0.0278014
          44    -5.01478    -5.08693   0.0272202
          45     -5.0083    -5.08518   0.0266713
          46    -5.00977    -5.08354   0.0261418
          47    -4.85152    -5.07861   0.0260475
          48    -5.05183    -5.07805   0.0255109
          49    -5.02385    -5.07694   0.0250142
          50    -5.05174    -5.07644    0.024519
          51    -5.04645    -5.07585   0.0240453
          52     -5.0907    -5.07614   0.0235846
          53    -4.98719    -5.07446   0.0231992
          54    -4.97029    -5.07253   0.0228496
          55    -4.91764    -5.06971   0.0226071
          56    -4.94405    -5.06747   0.0223144
          57    -5.11286    -5.06827   0.0219372
          58    -4.98531    -5.06683   0.0216055
          59     -5.1316    -5.06793   0.0212672
          60     -4.9934    -5.06669    0.020949
          61    -5.00466    -5.06567   0.0206302
          62    -4.96025    -5.06397   0.0203674
          63    -5.01282    -5.06316   0.0200603
          64    -5.03204    -5.06267   0.0197528
          65    -4.85544    -5.05949   0.0197045
          66    -4.97765    -5.05825   0.0194449
          67    -4.97066    -5.05694   0.0191986
          68    -5.05534    -5.05692   0.0189163
          69    -5.05044    -5.05682   0.0186424
          70      -4.989    -5.05585   0.0184012
          71    -5.04476     -5.0557   0.0181427
          72    -5.05078    -5.05563   0.0178909
          73    -5.09371    -5.05615   0.0176534
          74    -5.01661    -5.05562   0.0174229
          75    -5.02382    -5.05519   0.0171958
          76    -5.06564    -5.05533     0.01697
          77    -5.01301    -5.05478   0.0167585
          78    -5.02729    -5.05443   0.0165474
          79     -4.8894    -5.05234   0.0164693
          80    -4.99774    -5.05166   0.0162775
          81    -5.06273    -5.05179   0.0160772
          82    -5.17572     -5.0533    0.015952
          83    -5.02392    -5.05295   0.0157637
          84    -4.94651    -5.05168   0.0156269
          85     -4.9701    -5.05072   0.0154725
          86    -5.02982    -5.05048   0.0152945
          87    -5.04681    -5.05044   0.0151187
          88    -5.12883    -5.05133   0.0149732
          89    -5.05448    -5.05136    0.014805
          90    -4.92603    -5.04997   0.0147058
          91    -5.01534    -5.04959   0.0145491
          92     -5.0892    -5.05002   0.0143974
          93    -5.07556     -5.0503   0.0142452
          94    -5.03692    -5.05015   0.0140943
          95    -4.98966    -5.04952   0.0139603
          96    -5.06395    -5.04967   0.0138157
          97    -5.06394    -5.04981   0.0136741
          98    -4.95846    -5.04888   0.0135663
          99    -5.01702    -5.04856   0.0134331
         100    -4.97957    -5.04787   0.0133164
