#     BLOCK:   ACTUAL_P:     P_AVE:       ERROR:
           1     1.44857     1.44857           0
           2    0.972593     1.21058    0.168285
           3    0.814962     1.07871      0.1555
           4    0.905668     1.03545    0.122495
           5    0.914672     1.01129     0.10035
           6    0.916673    0.995524   0.0848547
           7    0.869463    0.977515   0.0746191
           8    0.923931    0.970817   0.0655917
           9    0.910019    0.964062   0.0586505
          10    0.907534    0.958409   0.0530572
          11    0.916536    0.954602   0.0483702
          12     0.83311    0.944478   0.0453865
          13    0.928964    0.943285   0.0419109
          14    0.938458     0.94294   0.0389187
          15    0.894478    0.939709    0.036458
          16    0.907208    0.937678   0.0342359
          17     0.88261    0.934438   0.0323749
          18    0.857958     0.93019   0.0308539
          19    0.933153    0.930346   0.0292304
          20    0.884578    0.928057   0.0278583
          21    0.871387    0.925359   0.0266621
          22    0.874139     0.92303   0.0255516
          23    0.920947     0.92294   0.0244408
          24    0.895804    0.921809   0.0234486
          25    0.916744    0.921607   0.0225115
          26    0.854541    0.919027    0.021793
          27    0.876254    0.917443   0.0210433
          28    0.886883    0.916351   0.0203201
          29    0.892705    0.915536   0.0196357
          30      0.9382    0.916292   0.0189957
          31    0.911888    0.916149   0.0183835
          32    0.897575    0.915569   0.0178182
          33    0.908599    0.915358   0.0172795
          34    0.868718    0.913986   0.0168256
          35    0.890292    0.913309   0.0163585
          36     0.94643    0.914229     0.01593
          37    0.906511    0.914021   0.0155008
          38    0.889025    0.913363   0.0151068
          39    0.868024      0.9122   0.0147641
          40    0.888924    0.911618   0.0144065
          41    0.919027    0.911799   0.0140562
          42    0.903192    0.911594   0.0137231
          43    0.929162    0.912003     0.01341
          44    0.874607    0.911153   0.0131321
          45    0.871704    0.910276   0.0128695
          46    0.876246    0.909536    0.012611
          47    0.799066    0.907186   0.0125598
          48    0.897323     0.90698   0.0122998
          49    0.882208    0.906475   0.0120592
          50    0.894221     0.90623   0.0118205
          51    0.891087    0.905933   0.0115925
          52    0.911871    0.906047   0.0113701
          53    0.862295    0.905222   0.0111855
          54    0.854091    0.904275   0.0110184
          55    0.830169    0.902927   0.0109001
          56    0.843021    0.901858   0.0107578
          57    0.927866    0.902314   0.0105788
          58    0.863448    0.901644   0.0104176
          59     0.93679    0.902239    0.010258
          60    0.870327    0.901708   0.0101008
          61    0.874597    0.901263  0.00994501
          62     0.85277    0.900481  0.00981532
          63      0.8785    0.900132  0.00966572
          64    0.889011    0.899958  0.00951625
          65    0.800867    0.898434  0.00949117
          66    0.860292    0.897856  0.00936494
          67    0.855154    0.897219  0.00924683
          68    0.896671    0.897211  0.00911085
          69    0.897596    0.897216  0.00897881
          70    0.864323    0.896746  0.00886283
          71    0.891684    0.896675  0.00873829
          72    0.892639    0.896619   0.0086171
          73    0.914705    0.896867  0.00850262
          74     0.87681    0.896596  0.00839204
          75     0.87937    0.896366  0.00828329
          76    0.899834    0.896412  0.00817442
          77    0.872266    0.896098  0.00807427
          78    0.880827    0.895902  0.00797313
          79    0.811969     0.89484  0.00794268
          80    0.865002    0.894467  0.00785214
          81    0.898093    0.894512  0.00775533
          82    0.954277     0.89524  0.00769493
          83    0.882679    0.895089  0.00760371
          84    0.846143    0.894506  0.00753548
          85    0.858015    0.894077  0.00745904
          86    0.884026     0.89396  0.00737323
          87     0.89051    0.893921  0.00728858
          88    0.929308    0.894323  0.00721684
          89     0.89566    0.894338  0.00713577
          90    0.831009    0.893634  0.00709109
          91    0.873352    0.893411  0.00701667
          92    0.911111    0.893604  0.00694304
          93    0.905176    0.893728   0.0068695
          94    0.887446    0.893661  0.00679674
          95    0.864239    0.893351  0.00673225
          96    0.900977    0.893431  0.00666259
          97    0.901466    0.893514  0.00659442
          98    0.849501    0.893065  0.00654241
          99    0.877021    0.892903  0.00647833
         100    0.859835    0.892572  0.00642198
