#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
           1     1.87137     1.87137           0
           2     1.21691     1.54414    0.231385
           3    0.997923     1.36207    0.214232
           4     1.11947     1.30142    0.169041
           5     1.13261     1.26766    0.138564
           6     1.13528     1.24559    0.117213
           7      1.0719     1.22078    0.103061
           8      1.1458     1.21141   0.0906037
           9     1.12756     1.20209   0.0810142
          10     1.12411     1.19429   0.0732871
          11     1.13436     1.18884   0.0668269
          12     1.02148      1.1749   0.0626965
          13     1.15195     1.17313   0.0578985
          14     1.16581     1.17261   0.0537653
          15      1.1066     1.16821   0.0503607
          16     1.12342     1.16541   0.0472909
          17     1.09012     1.16098   0.0447159
          18     1.05726     1.15522   0.0426014
          19     1.15808     1.15537   0.0403595
          20     1.09314     1.15226   0.0384613
          21     1.07643     1.14865   0.0367989
          22     1.08044     1.14555   0.0352565
          23     1.14249     1.14541   0.0337239
          24     1.10819     1.14386   0.0323544
          25     1.13571     1.14354   0.0310619
          26     1.05057     1.13996   0.0300723
          27     1.07919     1.13771   0.0290426
          28     1.09404     1.13615   0.0280472
          29     1.10229     1.13498   0.0271044
          30     1.16394     1.13595   0.0262181
          31     1.12815      1.1357   0.0253735
          32     1.10887     1.13486   0.0245944
          33     1.12437     1.13454   0.0238512
          34     1.07067     1.13266   0.0232236
          35     1.10057     1.13175   0.0225781
          36     1.17572     1.13297    0.021984
          37     1.12092     1.13264   0.0213922
          38      1.0969      1.1317   0.0208499
          39     1.06863     1.13008   0.0203779
          40     1.09751     1.12927   0.0198847
          41     1.13994     1.12953   0.0194015
          42     1.12038     1.12931   0.0189407
          43     1.15547     1.12992     0.01851
          44     1.08064      1.1288   0.0181232
          45     1.07444     1.12759   0.0177607
          46     1.07775     1.12651   0.0174076
          47    0.972484     1.12323   0.0173429
          48     1.10591     1.12287   0.0169854
          49     1.08852     1.12217   0.0166532
          50     1.10561     1.12184   0.0163234
          51     1.10122     1.12143   0.0160084
          52     1.12969     1.12159   0.0157013
          53     1.06304     1.12049   0.0154439
          54     1.05084      1.1192   0.0152116
          55     1.01712     1.11734   0.0150479
          56     1.03365     1.11585   0.0148532
          57     1.14822     1.11642   0.0146034
          58     1.06177     1.11547    0.014382
          59     1.16043     1.11624   0.0141584
          60     1.07118     1.11548   0.0139423
          61     1.07712     1.11486    0.013728
          62     1.04757     1.11377   0.0135494
          63     1.08212     1.11327   0.0133436
          64     1.09576     1.11299   0.0131379
          65    0.977232     1.11091   0.0131008
          66     1.05745      1.1101   0.0129273
          67      1.0508     1.10921   0.0127646
          68     1.10699     1.10918   0.0125769
          69     1.10765     1.10916   0.0123947
          70     1.06339      1.1085   0.0122348
          71     1.10099      1.1084    0.012063
          72     1.10385     1.10833   0.0118956
          73     1.13401     1.10869   0.0117378
          74     1.08172     1.10832   0.0115849
          75     1.08419       1.108   0.0114349
          76     1.11211     1.10805   0.0112845
          77       1.076     1.10764   0.0111457
          78     1.08817     1.10739   0.0110056
          79    0.996173     1.10598   0.0109559
          80     1.06743      1.1055   0.0108296
          81     1.11239     1.10558   0.0106962
          82     1.18798     1.10659   0.0106129
          83     1.08955     1.10638    0.010487
          84     1.03781     1.10557   0.0103939
          85     1.05339     1.10495   0.0102897
          86     1.09045     1.10478   0.0101714
          87     1.10219     1.10475   0.0100546
          88     1.15593     1.10534   0.0099571
          89     1.10883     1.10537   0.0098453
          90     1.02097     1.10444  0.00978048
          91     1.07955     1.10416  0.00967682
          92     1.13024     1.10445  0.00957579
          93     1.12107     1.10463  0.00947449
          94     1.09634     1.10454  0.00937411
          95     1.06407     1.10411  0.00928511
          96     1.11284      1.1042  0.00918884
          97     1.11332      1.1043  0.00909459
          98     1.04344     1.10368  0.00902296
          99     1.08055     1.10344  0.00893484
         100     1.05751     1.10298  0.00885729
