#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1    -3.39695    -3.39695           0
           2    -3.38418    -3.39057  0.00451414
           3    -3.39705    -3.39273  0.00348917
           4    -3.39695    -3.39378  0.00277223
           5    -3.39499    -3.39403  0.00222829
           6    -3.39316    -3.39388  0.00186162
           7    -3.39316    -3.39378  0.00159856
           8    -3.39341    -3.39373  0.00139941
           9    -3.39325    -3.39368  0.00124495
          10    -3.39367    -3.39368  0.00112045
          11    -3.39415    -3.39372  0.00101943
          12    -3.39666    -3.39397 0.000963379
          13    -3.39832     -3.3943 0.000945696
          14    -3.39659    -3.39446  0.00089218
          15    -3.39447    -3.39446 0.000832701
          16    -3.39473    -3.39448 0.000780825
          17     -3.3936    -3.39443 0.000736617
          18    -3.39714    -3.39458 0.000710879
          19    -3.39753    -3.39473 0.000690216
          20    -3.39695    -3.39485 0.000664542
          21    -3.39527    -3.39487 0.000633203
          22    -3.39713    -3.39497 0.000612701
          23    -3.39174    -3.39483 0.000601924
          24     -3.3894     -3.3946 0.000617828
          25    -3.38524    -3.39423 0.000697456
          26    -3.38864    -3.39401 0.000703014
          27    -3.39209    -3.39394 0.000680581
          28    -3.39623    -3.39402 0.000661172
          29    -3.39321      -3.394 0.000638969
          30    -3.39433    -3.39401 0.000617767
          31    -3.39341    -3.39399  0.00059814
          32    -3.39134     -3.3939 0.000585157
          33    -3.39035     -3.3938 0.000577233
          34    -3.39109    -3.39372 0.000565737
          35    -3.39563    -3.39377 0.000552203
          36    -3.39427    -3.39379 0.000537038
          37    -3.39325    -3.39377 0.000522715
          38    -3.39178    -3.39372 0.000511588
          39     -3.3941    -3.39373 0.000498565
          40    -3.39482    -3.39376 0.000486851
          41    -3.39339    -3.39375 0.000475057
          42    -3.39345    -3.39374 0.000463797
          43    -3.39321    -3.39373 0.000453176
          44    -3.39382    -3.39373 0.000442881
          45    -3.39663    -3.39379  0.00043772
          46    -3.39316    -3.39378 0.000428424
          47     -3.3928    -3.39376 0.000419819
          48    -3.39297    -3.39374 0.000411397
          49    -3.39107    -3.39369 0.000406599
          50    -3.39332    -3.39368 0.000398532
          51    -3.39462     -3.3937  0.00039114
          52    -3.39617    -3.39375 0.000386498
          53    -3.39263    -3.39373  0.00037978
          54    -3.39404    -3.39373 0.000372792
          55    -3.39195     -3.3937 0.000367412
          56    -3.39357     -3.3937 0.000360858
          57    -3.39054    -3.39364 0.000358757
          58    -3.39265    -3.39362 0.000352981
          59    -3.39096    -3.39358  0.00034988
          60    -3.38662    -3.39346 0.000362754
          61    -3.38897    -3.39339 0.000364194
          62     -3.3889    -3.39332 0.000365461
          63    -3.38965    -3.39326 0.000364273
          64    -3.38839    -3.39318  0.00036643
          65    -3.38959    -3.39313  0.00036494
          66    -3.39147     -3.3931  0.00036027
          67    -3.39446    -3.39312 0.000355462
          68    -3.39485    -3.39315 0.000351144
          69    -3.38897    -3.39309 0.000351235
          70    -3.39392     -3.3931  0.00034642
          71    -3.39327     -3.3931 0.000341549
          72    -3.39501    -3.39313 0.000337835
          73    -3.39269    -3.39312 0.000333259
          74    -3.39403    -3.39313  0.00032898
          75    -3.39753    -3.39319 0.000329776
          76    -3.39746    -3.39325  0.00033019
          77    -3.39901    -3.39332 0.000334277
          78    -3.39503    -3.39335 0.000330704
          79    -3.39514    -3.39337 0.000327297
          80     -3.3966    -3.39341 0.000325681
          81    -3.39414    -3.39342 0.000321786
          82    -3.39375    -3.39342 0.000317887
          83     -3.3896    -3.39338 0.000317376
          84     -3.3898    -3.39333 0.000316442
          85    -3.39002    -3.39329 0.000315116
          86    -3.39415     -3.3933 0.000311609
          87    -3.39353    -3.39331 0.000308039
          88    -3.39493    -3.39333 0.000305091
          89    -3.39124     -3.3933  0.00030256
          90    -3.39458    -3.39332 0.000299532
          91    -3.39601    -3.39335 0.000297699
          92    -3.39384    -3.39335 0.000294512
          93    -3.39396    -3.39336 0.000291418
          94    -3.39242    -3.39335 0.000288489
          95    -3.39356    -3.39335 0.000285461
          96     -3.3947    -3.39336 0.000282831
          97    -3.39395    -3.39337 0.000279981
          98    -3.39329    -3.39337 0.000277125
          99     -3.3962     -3.3934 0.000275798
         100     -3.3933     -3.3934 0.000273042
