#     BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
           1     1.71455     1.71455           0
           2    0.802906     1.25873    0.322316
           3     1.18682     1.23476    0.215767
           4     1.26309     1.24184    0.161941
           5     1.26208     1.24589    0.129604
           6     1.22308     1.24209    0.108059
           7     1.32803     1.25437   0.0933166
           8     1.25125     1.25398   0.0816529
           9     1.32706      1.2621   0.0729829
          10      1.1132     1.24721   0.0671864
          11     1.21507     1.24429   0.0611421
          12     1.31984     1.25058   0.0563701
          13     1.29786     1.25422   0.0521511
          14     1.19222     1.24979   0.0486137
          15     1.24431     1.24942   0.0453742
          16     1.22571     1.24794   0.0425625
          17     1.29209     1.25054    0.040138
          18     1.19092     1.24723   0.0380445
          19     1.25485     1.24763   0.0360442
          20      1.2415     1.24732   0.0342433
          21     1.29575     1.24963   0.0326903
          22      1.2981     1.25183   0.0312785
          23     1.16206     1.24793   0.0301611
          24     1.26981     1.24884   0.0289182
          25     1.20951     1.24727   0.0278042
          26     1.20965     1.24582   0.0267724
          27     1.37115     1.25046   0.0261802
          28     1.22319     1.24949   0.0252633
          29     1.32016     1.25193   0.0245094
          30     1.23134     1.25124    0.023702
          31     1.14736     1.24789   0.0231731
          32     1.23929     1.24762   0.0224505
          33      1.2744     1.24843   0.0217848
          34     1.19584     1.24688   0.0211989
          35      1.2761     1.24772   0.0206097
          36     1.24607     1.24767   0.0200372
          37     1.32767     1.24984    0.019612
          38     1.19403     1.24837   0.0191508
          39     1.22705     1.24782   0.0186675
          40     1.25298     1.24795   0.0182013
          41     1.24581      1.2479   0.0177574
          42     1.30161     1.24918   0.0173806
          43     1.26064     1.24944   0.0169785
          44     1.22179     1.24881   0.0166042
          45     1.31255     1.25023   0.0162955
          46     1.24771     1.25018   0.0159414
          47     1.18744     1.24884    0.015658
          48      1.2457     1.24878   0.0153319
          49     1.34052     1.25065   0.0151329
          50     1.26642     1.25096   0.0148335
          51       1.168     1.24934   0.0146316
          52     1.20422     1.24847   0.0143759
          53     1.27316     1.24893   0.0141122
          54     1.27172     1.24936   0.0138572
          55     1.22036     1.24883   0.0136153
          56      1.3274     1.25023   0.0134442
          57     1.28578     1.25086   0.0132228
          58      1.2575     1.25097   0.0129954
          59     1.15082     1.24927   0.0128855
          60     1.15206     1.24765   0.0127722
          61     1.31224     1.24871   0.0126066
          62     1.32696     1.24997   0.0124663
          63     1.20927     1.24933   0.0122851
          64      1.1897      1.2484   0.0121285
          65      1.2401     1.24827   0.0119425
          66     1.36819     1.25009    0.011899
          67     1.17423     1.24895   0.0117752
          68     1.23553     1.24876   0.0116037
          69     1.29078     1.24937   0.0114515
          70     1.26211     1.24955   0.0112893
          71     1.21567     1.24907   0.0111404
          72     1.21586     1.24861   0.0109952
          73     1.26517     1.24884   0.0108469
          74     1.24438     1.24878   0.0107005
          75     1.30561     1.24953   0.0105846
          76     1.23771     1.24938   0.0104465
          77      1.2228     1.24903   0.0103165
          78     1.22451     1.24872   0.0101891
          79     1.17302     1.24776    0.010105
          80     1.24322      1.2477  0.00997888
          81     1.32279     1.24863  0.00989865
          82     1.24685     1.24861  0.00977796
          83     1.29519     1.24917  0.00967624
          84     1.17652      1.2483  0.00959963
          85     1.24472     1.24826  0.00948678
          86      1.2201     1.24794  0.00938212
          87      1.2788     1.24829  0.00928099
          88     1.21673     1.24793  0.00918245
          89     1.34919     1.24907  0.00914948
          90     1.31257     1.24977  0.00907498
          91     1.22067     1.24945  0.00898089
          92     1.15564     1.24843  0.00894098
          93     1.23434     1.24828  0.00884612
          94     1.27394     1.24856  0.00875623
          95     1.12892      1.2473  0.00875415
          96     1.26324     1.24746  0.00866453
          97     1.38077     1.24884  0.00868352
          98     1.30229     1.24938  0.00861202
          99       1.209     1.24897  0.00853469
         100     1.24659     1.24895  0.00844937
