#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
           1    -7.09755    -7.09755           0
           2    -6.17268    -6.63511    0.326988
           3    -6.55884    -6.60969    0.218978
           4    -6.63839    -6.61686    0.164351
           5    -6.63356     -6.6202    0.131515
           6    -6.59453    -6.61592    0.109665
           7    -6.70392     -6.6285   0.0947166
           8    -6.62445    -6.62799   0.0828784
           9    -6.70141    -6.63615     0.07407
          10    -6.48161    -6.62069   0.0682561
          11     -6.5861    -6.61755   0.0621234
          12    -6.69106    -6.62368   0.0572477
          13    -6.67097    -6.62731   0.0529595
          14    -6.56731    -6.62303   0.0493498
          15    -6.61801    -6.62269    0.046061
          16    -6.59716     -6.6211   0.0432098
          17    -6.66403    -6.62362   0.0407418
          18    -6.56403    -6.62031   0.0386126
          19    -6.62478    -6.62055   0.0365811
          20    -6.61319    -6.62018   0.0347539
          21    -6.67078    -6.62259   0.0331824
          22    -6.66987    -6.62474   0.0317436
          23    -6.53337    -6.62077    0.030611
          24    -6.64208    -6.62165   0.0293485
          25     -6.5783    -6.61992   0.0282257
          26    -6.58659    -6.61864   0.0271692
          27    -6.74112    -6.62317   0.0265389
          28    -6.59763    -6.62226   0.0256068
          29    -6.69215    -6.62467   0.0248369
          30    -6.60345    -6.62396   0.0240191
          31    -6.51994    -6.62061   0.0234775
          32    -6.61019    -6.62028   0.0227461
          33    -6.64658    -6.62108   0.0220708
          34    -6.56869    -6.61954   0.0214754
          35    -6.65217    -6.62047    0.020882
          36     -6.6162    -6.62035   0.0203023
          37    -6.69976     -6.6225   0.0198667
          38    -6.56605    -6.62101   0.0193994
          39    -6.59683    -6.62039   0.0189118
          40    -6.62219    -6.62044   0.0184391
          41    -6.62086    -6.62045   0.0179894
          42    -6.67898    -6.62184    0.017615
          43     -6.6336    -6.62212   0.0172074
          44    -6.59512     -6.6215   0.0168273
          45    -6.68979    -6.62302   0.0165216
          46    -6.62105    -6.62298   0.0161625
          47    -6.55921    -6.62162   0.0158755
          48    -6.62055     -6.6216   0.0155447
          49    -6.71704    -6.62355   0.0153491
          50    -6.63844    -6.62384    0.015045
          51    -6.53929    -6.62219    0.014841
          52    -6.57715    -6.62132   0.0145809
          53    -6.64782    -6.62182   0.0143143
          54    -6.64025    -6.62216   0.0140533
          55    -6.59107     -6.6216   0.0138092
          56    -6.70057    -6.62301   0.0136344
          57    -6.65692     -6.6236   0.0134082
          58    -6.62779    -6.62367   0.0131772
          59    -6.51927     -6.6219   0.0130721
          60    -6.52804    -6.62034   0.0129475
          61    -6.68805    -6.62145   0.0127828
          62    -6.69896     -6.6227   0.0126376
          63    -6.58117    -6.62204   0.0124542
          64    -6.56368    -6.62113   0.0122929
          65    -6.60984    -6.62095    0.012105
          66     -6.7421    -6.62279     0.01206
          67    -6.54182    -6.62158   0.0119403
          68     -6.6073    -6.62137   0.0117666
          69    -6.66506      -6.622   0.0116131
          70     -6.6334    -6.62217   0.0114483
          71    -6.58529    -6.62165   0.0112989
          72    -6.58928     -6.6212   0.0111509
          73    -6.63674    -6.62141   0.0110002
          74    -6.62018    -6.62139   0.0108515
          75    -6.67986    -6.62217   0.0107348
          76    -6.60876      -6.622    0.010595
          77    -6.59302    -6.62162   0.0104641
          78    -6.59632     -6.6213    0.010335
          79    -6.54414    -6.62032   0.0102502
          80    -6.61747    -6.62028   0.0101221
          81    -6.69484    -6.62121   0.0100389
          82    -6.62189    -6.62121  0.00991649
          83      -6.665    -6.62174  0.00981103
          84    -6.54697    -6.62085  0.00973453
          85    -6.61722    -6.62081   0.0096201
          86    -6.58969    -6.62045  0.00951504
          87    -6.65059    -6.62079  0.00941198
          88    -6.58893    -6.62043  0.00931198
          89     -6.7251    -6.62161  0.00928133
          90    -6.68443     -6.6223  0.00920442
          91     -6.5941    -6.62199  0.00910849
          92    -6.53168    -6.62101  0.00906223
          93    -6.60864    -6.62088  0.00896576
          94    -6.64779    -6.62117  0.00887495
          95    -6.49987    -6.61989   0.0088729
          96    -6.63633    -6.62006  0.00878212
          97    -6.75383    -6.62144  0.00879919
          98    -6.67569    -6.62199   0.0087268
          99    -6.57985    -6.62157  0.00864902
         100    -6.61852    -6.62154  0.00856258
