#     BLOCK:   ACTUAL_P:     P_AVE:       ERROR:
           1     1.31632     1.31632           0
           2    0.694969     1.00564    0.219681
           3    0.956279     0.98919    0.147069
           4     1.00838    0.993987     0.11038
           5     1.00747    0.996684   0.0883369
           6    0.981081    0.994083   0.0736524
           7     1.05262     1.00245   0.0636036
           8     1.00031     1.00218   0.0556537
           9     1.05151     1.00766   0.0497391
          10    0.905867     0.99748    0.045795
          11    0.975488    0.995481   0.0416754
          12     1.04717    0.999788   0.0384244
          13     1.03207     1.00227   0.0355489
          14    0.959971     0.99925   0.0331378
          15     0.99533    0.998989   0.0309297
          16    0.982941    0.997986   0.0290128
          17     1.02795    0.999748   0.0273596
          18     0.95895    0.997482   0.0259334
          19     1.00245    0.997744   0.0245698
          20    0.993406    0.997527   0.0233423
          21     1.03068    0.999105    0.022284
          22     1.03198      1.0006   0.0213212
          23     0.93935    0.997937   0.0205598
          24     1.01293    0.998561   0.0197126
          25    0.971654    0.997485   0.0189535
          26    0.971364     0.99648   0.0182511
          27     1.08204    0.999649   0.0178481
          28    0.981123    0.998987   0.0172229
          29     1.04699     1.00064   0.0167084
          30    0.986773     1.00018   0.0161578
          31    0.929572    0.997903   0.0157963
          32    0.991992    0.997718   0.0153038
          33     1.01549    0.998256   0.0148495
          34    0.962503    0.997205   0.0144499
          35     1.01705    0.997772   0.0140482
          36    0.996881    0.997747    0.013658
          37     1.05236    0.999223   0.0133684
          38    0.961133    0.998221   0.0130541
          39    0.983833    0.997852   0.0127246
          40     1.00135    0.997939   0.0124068
          41    0.996606    0.997906   0.0121042
          42     1.03447    0.998777   0.0118473
          43     1.00628    0.998952    0.011573
          44    0.979916    0.998519   0.0113181
          45     1.04179    0.999481   0.0111074
          46    0.997992    0.999448   0.0108659
          47    0.956771     0.99854   0.0106726
          48    0.996761    0.998503   0.0104503
          49     1.06129    0.999784   0.0103153
          50     1.01099     1.00001   0.0101114
          51    0.943807    0.998907  0.00997305
          52    0.968065    0.998313  0.00979888
          53     1.01493    0.998627  0.00961901
          54     1.01453    0.998921  0.00944539
          55    0.979381    0.998566  0.00928033
          56     1.05208    0.999522  0.00916368
          57     1.02415    0.999954   0.0090131
          58     1.00459     1.00003  0.00885805
          59    0.932515    0.998889  0.00878153
          60    0.933103    0.997793  0.00870335
          61     1.04166    0.998512  0.00859033
          62     1.05173     0.99937  0.00849456
          63    0.971787    0.998933    0.008371
          64    0.958094    0.998295  0.00826449
          65    0.992566    0.998206  0.00813781
          66     1.07973    0.999442  0.00810772
          67    0.947856    0.998672  0.00802319
          68    0.989675    0.998539  0.00790629
          69     1.02755     0.99896  0.00780288
          70     1.00759    0.999083  0.00769238
          71    0.976073    0.998759  0.00759086
          72    0.976409    0.998449  0.00749178
          73      1.0101    0.998608  0.00739085
          74    0.995531    0.998567  0.00729109
          75     1.03702    0.999079  0.00721188
          76    0.990918    0.998972  0.00711778
          77    0.981021    0.998739  0.00702916
          78    0.982137    0.998526  0.00694226
          79    0.947117    0.997875  0.00688482
          80    0.994288     0.99783  0.00679891
          81     1.04903    0.998462  0.00674429
          82      0.9972    0.998447  0.00666206
          83     1.03018    0.998829  0.00659276
          84    0.949572    0.998243   0.0065403
          85    0.995688    0.998213  0.00646342
          86    0.979254    0.997993  0.00639203
          87     1.01906    0.998235  0.00632314
          88    0.976598    0.997989  0.00625606
          89     1.06704    0.998765   0.0062337
          90     1.04238    0.999249  0.00618324
          91    0.979787    0.999035  0.00611899
          92    0.935044     0.99834  0.00609188
          93    0.988697    0.998236  0.00602726
          94     1.01602    0.998425  0.00596611
          95    0.917046    0.997569  0.00596449
          96     1.00817    0.997679  0.00590338
          97     1.08875    0.998618  0.00591671
          98     1.03502    0.998989  0.00586798
          99     0.97161    0.998713  0.00581522
         100    0.997224    0.998698  0.00575709
