#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
           1     1.14304     1.14304           0
           2    0.535271    0.839154    0.214878
           3    0.791216    0.823174    0.143845
           4    0.842059    0.827896    0.107961
           5    0.841388    0.830594   0.0864025
           6     0.81539     0.82806   0.0720392
           7    0.885352    0.836245   0.0622111
           8    0.834167    0.835985   0.0544352
           9    0.884704    0.841398   0.0486553
          10     0.74213    0.831471    0.044791
          11    0.810047    0.829524   0.0407614
          12    0.879892    0.833721   0.0375801
          13     0.86524    0.836145   0.0347674
          14    0.794813    0.833193   0.0324092
          15    0.829543     0.83295   0.0302495
          16     0.81714    0.831962    0.028375
          17    0.861391    0.833693   0.0267586
          18     0.79395    0.831485    0.025363
          19    0.836568    0.831752   0.0240295
          20    0.827667    0.831548   0.0228289
          21    0.863836    0.833086   0.0217935
          22      0.8654    0.834555   0.0208523
          23    0.774709    0.831953   0.0201074
          24    0.846537     0.83256   0.0192788
          25    0.806343    0.831512   0.0185361
          26    0.806436    0.830547   0.0178483
          27    0.914102    0.833642   0.0174534
          28    0.815462    0.832992   0.0168422
          29    0.880105    0.834617   0.0163396
          30    0.820893     0.83416   0.0158013
          31    0.764908    0.831926   0.0154487
          32    0.826194    0.831747    0.014967
          33    0.849603    0.832288   0.0145232
          34    0.797229    0.831257   0.0141326
          35    0.850731    0.831813   0.0137398
          36    0.830714    0.831782   0.0133581
          37    0.885116    0.833224   0.0130747
          38    0.796022    0.832245   0.0127672
          39    0.818033     0.83188    0.012445
          40     0.83532    0.831966   0.0121342
          41    0.830537    0.831932   0.0118383
          42    0.867742    0.832784   0.0115871
          43    0.840427    0.832962    0.011319
          44    0.814527    0.832543   0.0110695
          45    0.875036    0.833487   0.0108637
          46    0.831807    0.833451   0.0106276
          47    0.791625    0.832561   0.0104387
          48    0.830466    0.832517   0.0102213
          49    0.893677    0.833765   0.0100886
          50    0.844281    0.833976  0.00988902
          51    0.778665    0.832891  0.00975441
          52    0.802813    0.832313  0.00958396
          53    0.848771    0.832623  0.00940816
          54    0.847816    0.832905  0.00923814
          55    0.813575    0.832553  0.00907686
          56    0.884932    0.833489  0.00896283
          57    0.857184    0.833904  0.00881522
          58    0.838334    0.833981  0.00866357
          59    0.767215    0.832849  0.00859032
          60     0.76804    0.831769  0.00851478
          61    0.874824    0.832475   0.0084044
          62    0.884643    0.833316  0.00831086
          63    0.806181    0.832885  0.00819009
          64    0.793135    0.832264  0.00808564
          65    0.826732    0.832179  0.00796169
          66    0.912129    0.833391  0.00793268
          67     0.78282    0.832636  0.00785011
          68    0.823689    0.832504  0.00773577
          69    0.860517     0.83291   0.0076343
          70    0.841404    0.833031   0.0075262
          71    0.810449    0.832713  0.00742692
          72    0.810574    0.832406  0.00733013
          73    0.843445    0.832557  0.00723128
          74    0.829587    0.832517  0.00713367
          75    0.870409    0.833022  0.00705642
          76    0.825138    0.832918  0.00696433
          77      0.8152    0.832688  0.00687769
          78    0.816341    0.832479  0.00679271
          79    0.782014     0.83184  0.00673669
          80    0.828814    0.831802  0.00665259
          81    0.881859     0.83242   0.0065991
          82    0.831232    0.832406  0.00651864
          83    0.863457     0.83278  0.00645083
          84    0.784343    0.832203  0.00639975
          85    0.829811    0.832175  0.00632452
          86    0.813399    0.831957  0.00625475
          87    0.852533    0.832193  0.00618732
          88    0.811156    0.831954  0.00612163
          89    0.899459    0.832713  0.00609966
          90    0.875045    0.833183  0.00604999
          91    0.813782     0.83297  0.00598726
          92    0.770427     0.83229  0.00596065
          93    0.822891    0.832189  0.00589742
          94    0.849291    0.832371  0.00583748
          95    0.752612    0.831531   0.0058361
          96    0.842159    0.831642  0.00577636
          97    0.920515    0.832558  0.00578901
          98    0.868191    0.832922  0.00574135
          99    0.806003     0.83265  0.00568979
         100    0.831057    0.832634  0.00563291
