#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1    -5.38299    -5.38299           0
           2    -5.36978    -5.37638  0.00467158
           3    -5.37202    -5.37493  0.00333337
           4     -5.3753    -5.37502  0.00250132
           5    -5.37147    -5.37431  0.00209931
           6    -5.37145    -5.37383  0.00180287
           7     -5.3759    -5.37413   0.0015692
           8     -5.3732    -5.37401  0.00137735
           9    -5.37435    -5.37405  0.00122484
          10    -5.36842    -5.37349  0.00122512
          11    -5.37103    -5.37326  0.00113393
          12    -5.37122    -5.37309  0.00105209
          13    -5.37311    -5.37309 0.000971163
          14    -5.37509    -5.37324  0.00091216
          15    -5.37369    -5.37327 0.000851856
          16    -5.37145    -5.37315 0.000806158
          17    -5.37195    -5.37308 0.000761855
          18     -5.3731    -5.37308  0.00071953
          19    -5.36993    -5.37292 0.000700546
          20    -5.37169    -5.37286 0.000668209
          21    -5.37502    -5.37296 0.000644314
          22    -5.37177    -5.37291 0.000617288
          23     -5.3713    -5.37284 0.000594372
          24    -5.37227    -5.37281  0.00057007
          25    -5.36879    -5.37265 0.000569556
          26    -5.37693    -5.37282 0.000570957
          27    -5.36996    -5.37271 0.000559512
          28    -5.37444    -5.37277 0.000542924
          29      -5.372    -5.37275 0.000524863
          30    -5.37211    -5.37272 0.000507789
          31    -5.37258    -5.37272 0.000491431
          32    -5.37089    -5.37266 0.000479373
          33    -5.37218    -5.37265  0.00046507
          34    -5.37284    -5.37265 0.000451427
          35    -5.37607    -5.37275 0.000448963
          36    -5.37013    -5.37268 0.000442358
          37    -5.37209    -5.37266 0.000430691
          38    -5.37202    -5.37265 0.000419692
          39    -5.36978    -5.37257 0.000415305
          40    -5.36921    -5.37249 0.000413352
          41    -5.37505    -5.37255 0.000407977
          42    -5.37737    -5.37267 0.000414093
          43    -5.37296    -5.37267 0.000404521
          44    -5.37333    -5.37269 0.000395605
          45    -5.37723    -5.37279 0.000399511
          46    -5.37334     -5.3728 0.000391007
          47    -5.37178    -5.37278 0.000383294
          48    -5.37485    -5.37282 0.000377741
          49    -5.37653     -5.3729 0.000377528
          50    -5.37202    -5.37288 0.000370386
          51    -5.37129    -5.37285 0.000364427
          52    -5.37293    -5.37285 0.000357423
          53    -5.37467    -5.37288 0.000352317
          54    -5.36852     -5.3728 0.000354937
          55    -5.37071    -5.37277 0.000350519
          56    -5.37317    -5.37277 0.000344333
          57    -5.37115    -5.37274 0.000339471
          58    -5.37029     -5.3727 0.000336247
          59    -5.36845    -5.37263 0.000338191
          60    -5.37598    -5.37269 0.000337134
          61    -5.37582    -5.37274 0.000335487
          62    -5.37199    -5.37273 0.000330291
          63     -5.3719    -5.37271 0.000325307
          64    -5.37397    -5.37273 0.000320822
          65    -5.36974    -5.37269 0.000319161
          66     -5.3739     -5.3727 0.000314859
          67    -5.36759    -5.37263 0.000319271
          68    -5.37176    -5.37262  0.00031483
          69    -5.37428    -5.37264 0.000311191
          70    -5.37129    -5.37262 0.000307343
          71    -5.36961    -5.37258 0.000305921
          72    -5.37342    -5.37259 0.000301893
          73    -5.37157    -5.37258  0.00029808
          74     -5.3758    -5.37262 0.000297215
          75    -5.37424    -5.37264 0.000294041
          76    -5.37106    -5.37262 0.000290911
          77    -5.37022    -5.37259 0.000288804
          78     -5.3718    -5.37258 0.000285277
          79    -5.37112    -5.37256 0.000282262
          80    -5.37424    -5.37258 0.000279518
          81    -5.37205    -5.37257 0.000276143
          82    -5.37504     -5.3726 0.000274413
          83    -5.36981    -5.37257 0.000273165
          84    -5.37046    -5.37255  0.00027107
          85     -5.3725    -5.37255 0.000267882
          86    -5.36959    -5.37251  0.00026696
          87    -5.37179     -5.3725  0.00026402
          88     -5.3722     -5.3725 0.000261042
          89    -5.37592    -5.37254 0.000260915
          90    -5.37187    -5.37253 0.000258123
          91    -5.37342    -5.37254 0.000255473
          92    -5.37604    -5.37258 0.000255516
          93    -5.37431     -5.3726 0.000253445
          94    -5.37385    -5.37261   0.0002511
          95    -5.37095    -5.37259 0.000249062
          96    -5.37309     -5.3726 0.000246523
          97    -5.37305     -5.3726 0.000244026
          98     -5.3734    -5.37261 0.000241672
          99    -5.37085    -5.37259 0.000239884
         100    -5.37193    -5.37259 0.000237577
