#   N_BLOCK:  ACCEPTANCE:
           1    0.538246
           2    0.537254
           3    0.537896
           4    0.537528
           5    0.537637
           6    0.537741
           7    0.537824
           8    0.537892
           9    0.537916
          10    0.537946
          11    0.537835
          12     0.53788
          13    0.537913
          14    0.537849
          15    0.537895
          16      0.5379
          17    0.537784
          18    0.537782
          19    0.537748
          205.377136e-01
           1    0.506696
           2    0.507115
           3    0.506523
           4    0.506655
           5    0.506442
           6    0.506457
           7    0.506603
           8    0.506627
           9    0.506589
          10    0.506721
          11     0.50662
          12    0.506551
          13    0.506681
          14    0.506622
          15    0.506688
          16    0.506629
          17    0.506604
          18    0.506682
          19    0.506707
          205.065819e-01
           1    0.470348
           2    0.471851
           3    0.471225
           4    0.471448
           5    0.471865
           6    0.471859
           7    0.471789
           8    0.471615
           9    0.471562
          10     0.47144
          11    0.471501
          12    0.471438
          13    0.471247
          14    0.471353
          15     0.47134
          16    0.471312
          17    0.471376
          18    0.471406
          19    0.471314
          204.712132e-01
           1    0.433606
           2    0.433464
           3    0.432413
           4     0.43223
           5    0.431935
           6    0.431858
           7    0.431535
           8    0.431457
           9    0.431622
          10    0.431476
          11    0.431434
          12    0.431335
          13    0.431361
          14    0.431463
          15    0.431474
          16    0.431447
          17    0.431462
          18    0.431341
          19    0.431361
          204.313759e-01
           1    0.385973
           2     0.38627
           3    0.386326
           4    0.387076
           5    0.386768
           6    0.386887
           7    0.387207
           8    0.387291
           9     0.38728
          10     0.38718
          11    0.387051
          12    0.386789
          13    0.386742
          14    0.386658
          15    0.386684
          16    0.386821
          17    0.386781
          18    0.386769
          19    0.386749
          203.866476e-01
           1    0.336421
           2    0.336176
           3    0.336393
           4    0.336706
           5    0.336322
           6    0.335929
           7    0.335903
           8    0.335654
           9    0.335425
          10    0.335643
          11    0.335642
          12    0.335672
          13    0.335753
          14    0.335881
          15    0.335947
          16    0.335977
          17    0.335905
          18    0.335924
          19    0.336005
          203.360867e-01
           1    0.278313
           2    0.278137
           3    0.278984
           4    0.279787
           5    0.279786
           6     0.27976
           7    0.280016
           8    0.279639
           9    0.279683
          10    0.279792
          11    0.279947
          12    0.279957
          13    0.279842
          14    0.279837
          15    0.279804
          16    0.279681
          17    0.279744
          18    0.279916
          19    0.279951
          202.798325e-01
           1    0.216075
           2    0.215176
           3    0.217118
           4    0.216894
           5     0.21761
           6    0.217347
           7    0.217184
           8     0.21706
           9    0.217078
          10    0.216814
          11    0.217202
          12    0.217022
          13    0.217125
          14    0.217085
          15    0.217083
          16    0.216946
          17    0.217108
          18    0.216922
          19    0.216778
          202.168461e-01
           1    0.151874
           2    0.153316
           3    0.152612
           4    0.152518
           5    0.152384
           6    0.151681
           7    0.151248
           8    0.151111
           9      0.1516
          10    0.151672
          11    0.151283
          12    0.151414
          13    0.151362
          14    0.151352
          15    0.151194
          16     0.15117
          17    0.151185
          18    0.151215
          19    0.151056
          201.510987e-01
           1    0.088037
           2   0.0909295
           3   0.0878637
           4    0.087549
           5   0.0873728
           6    0.087268
           7    0.086468
           8   0.0867742
           9   0.0866454
          10   0.0863359
          11   0.0860458
          12    0.086209
          13   0.0861939
          14   0.0863581
          15   0.0865364
          16    0.086409
          17   0.0864387
          18    0.086558
          19   0.0863531
          208.629210e-02
           1    0.033364
           2    0.029367
           3    0.027416
           4   0.0266195
           5   0.0277738
           6   0.0275692
           7   0.0272431
           8   0.0270073
           9   0.0264987
          10   0.0261411
          11   0.0262131
          12   0.0259957
          13   0.0256992
          14   0.0257609
          15   0.0261169
          16   0.0259534
          17   0.0262723
          18   0.0262038
          19   0.0262274
          202.610070e-02
