#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
                 1      1.445280e-01      1.445280e-01      0.000000e+00
                 2      4.532600e-02      9.492700e-02      3.507320e-02
                 3      4.622600e-02      7.869333e-02      2.687773e-02
                 4      1.248780e-01      9.023950e-02      2.250205e-02
                 5      1.491560e-01      1.020228e-01      2.085991e-02
                 6     -3.192040e-01      3.181833e-02      6.640332e-02
                 7      7.610000e-02      3.814429e-02      5.721766e-02
                 8     -3.747600e-02      2.869175e-02      5.084025e-02
                 9     -1.073660e-01      1.357422e-02      4.738568e-02
                10     -6.951560e-01     -5.729880e-02      7.962075e-02
                11      1.032940e-01     -4.269945e-02      7.370882e-02
                12     -1.067300e-01     -4.803533e-02      6.775928e-02
                13     -2.264800e-02     -4.608246e-02      6.257516e-02
                14     -3.214020e-01     -6.574814e-02      6.111763e-02
                15     -3.176040e-01     -8.253853e-02      5.930464e-02
                16     -4.528100e-01     -1.056805e-01      5.994354e-02
                17     -4.561800e-02     -1.021474e-01      5.652147e-02
                18      4.132500e-01     -7.351422e-02      6.019871e-02
                19      2.339360e-01     -5.733263e-02      5.916523e-02
                20      1.705980e-01     -4.593610e-02      5.729406e-02
