#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
                 1      2.803533e-01      2.803533e-01      0.000000e+00
                 2      3.194317e-01      2.998925e-01      1.381631e-02
                 3      3.449247e-01      3.149032e-01      1.533151e-02
                 4      2.996535e-01      3.110908e-01      1.196326e-02
                 5      3.168661e-01      3.122458e-01      9.626207e-03
                 6      3.404565e-01      3.169476e-01      9.097923e-03
                 7      3.458784e-01      3.210806e-01      8.686395e-03
                 8      3.331903e-01      3.225943e-01      7.731363e-03
                 9      3.258962e-01      3.229612e-01      6.881022e-03
                10      3.569897e-01      3.263640e-01      6.983817e-03
                11      3.541373e-01      3.288889e-01      6.790004e-03
                12      3.586275e-01      3.313671e-01      6.661086e-03
                13      3.409847e-01      3.321069e-01      6.189642e-03
                14      3.341266e-01      3.322512e-01      5.749206e-03
                15      3.533083e-01      3.336550e-01      5.534659e-03
                16      3.044885e-01      3.318321e-01      5.480724e-03
                17      3.582141e-01      3.333840e-01      5.373550e-03
                18      3.071803e-01      3.319282e-01      5.268522e-03
                19      3.690020e-01      3.338795e-01      5.340355e-03
                20      3.241766e-01      3.333943e-01      5.095326e-03
