#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
                 1      4.284711e+03      4.284711e+03      0.000000e+00
                 2      4.011516e+03      4.148114e+03      9.658895e+01
                 3      3.752333e+03      4.016187e+03      1.254972e+02
                 4      4.074637e+03      4.030800e+03      9.496980e+01
                 5      4.111866e+03      4.047013e+03      7.734745e+01
                 6      3.817170e+03      4.008706e+03      7.333119e+01
                 7      3.765778e+03      3.974002e+03      7.059107e+01
                 8      3.981438e+03      3.974931e+03      6.177330e+01
                 9      3.984480e+03      3.975992e+03      5.491871e+01
                10      4.043716e+03      3.982765e+03      4.984266e+01
                11      3.693602e+03      3.956477e+03      5.178171e+01
                12      3.900664e+03      3.951826e+03      4.767499e+01
                13      3.923927e+03      3.949680e+03      4.405596e+01
                14      3.927878e+03      3.948123e+03      4.093662e+01
                15      3.930544e+03      3.946951e+03      3.822428e+01
                16      4.035652e+03      3.952495e+03      3.623505e+01
                17      3.880248e+03      3.948245e+03      3.435189e+01
                18      4.212761e+03      3.962940e+03      3.544762e+01
                19      3.794217e+03      3.954060e+03      3.467643e+01
                20      4.023394e+03      3.957527e+03      3.311544e+01
